PMID,FACTOR,RISK,TEXT
30697126,BMI,Yes,". we concluded that high bmi,high plts count and fluropyrimidine containing chemotherapy are all significant risk factors for vte events recorded while smoking and high bmi are significantly contributing to the high rate of the picc line related dvt.."
30697126,Smoking,Yes,"we concluded that high bmi,high plts count and fluropyrimidine containing chemotherapy are all significant risk factors for vte events recorded while smoking and high bmi are significantly contributing to the high rate of the picc line related dvt.. ."
30697126,PICC insertion procedure,Yes,. risk of distant vte is high as well as the picc line related dvt and the risk of the picc line related dvt is higher in the first two weeks after picc insertion..
28796444,Cancer,Yes,risk factors associated with picc-dvt included: history of dvt; multi-lumen picc; active cancer; presence of another cvc when the picc was placed; and white blood cell count greater than 12 000.. .
28796444,PICC insertion procedure,No,. conclusion the michigan picc-dvt risk score offers a novel way to estimate risk of dvt associated with piccs and can help inform appropriateness of picc insertion..
28796444,Biology ( blood platelet level_white blood cell level_triglycerides_fibrinogen),Yes,. risk factors associated with picc-dvt included: history of dvt; multi-lumen picc; active cancer; presence of another cvc when the picc was placed; and white blood cell count greater than 12 000..
31324590,PICC infection,No,"numbers of picc delegated to technicians, and picc placement difficulties, were prospectively recorded for the whole study population whereas complications such as picc infection, deep venous thrombosis and catheter occlusion were prospectively recorded until picc removal for a subgroup of patients included during one month.."
36601900,Slower blood flow velocity,No,conclusions: exercise therapy improved venous blood flow velocity and effectively reduced the incidence of picc-associated vte..
35802673,PICC infection,No,"in 2017, 5 of 429 piccs developed a central line-associated infection (1.2%) and 29 of 429 piccs developed symptomatic venous thromboembolism (6.7%).."
33889013,Chemotherapy,No,"risk factors of picc-related venous thrombosis in breast cancer patients undergoing chemotherapy. background: to analyze the risk factors of a peripherally inserted central catheter (picc)-related venous thrombosis in patients with breast cancer undergoing chemotherapy and explore its preventive measures. thrombosis was not associated with age, punctured limb, platelet count, or chemotherapy drugs (p > 0.05). conclusion: blood vessel puncture was the main factor that affected picc-related thrombosis in breast cancer chemotherapy.. ."
33889013,Cancer,No,risk factors of picc-related venous thrombosis in breast cancer patients undergoing chemotherapy. background: to analyze the risk factors of a peripherally inserted central catheter (picc)-related venous thrombosis in patients with breast cancer undergoing chemotherapy and explore its preventive measures. conclusion: blood vessel puncture was the main factor that affected picc-related thrombosis in breast cancer chemotherapy.. .
33889013,Biology ( blood platelet level_white blood cell level_triglycerides_fibrinogen),No,"thrombosis was not associated with age, punctured limb, platelet count, or chemotherapy drugs (p > 0.05).. ."
33719694,PICC infection,No,"no serious complications such as infection, thrombosis and extravasation occurred in this group of patients after treatment.."
36897677,PICC infection,Yes,"synthesized outcomes indicated that compared with willful grip exercises, quantified grip exercises reduced the incidence of picc-related thrombosis (odds ratio = 0.19, 95% confidence interval [ci]: 0.12-0.31) and infection (odds ratio = 0.30, 95% ci: 0.15-0.60) in picc patients, increased the maximum venous velocity (mean difference = 3.02, 95% ci: 1.87-4.17) and mean blood flow (mean difference = 3.10, 95%ci: 1.57-4.62) in picc patients (all p < .05).."
23715775,Diabete,No,"a diagnosis of diabetes was the only factor that significantly predicted complications (hazard ratio, 2.71; 95% confidence interval, 1.13-6.13).. ."
23715775,PICC insertion procedure,No,". conclusions: picc insertion in pregnant women is associated with a high complication rate, which appears to be independent of the type of infusate and occurs in the majority of women.."
37573601,ICU,Yes,"predictive model for picc occlusion risk for patients in intensive care units: a retrospective clinical study. context: peripherally inserted central catheters (piccs) have a high incidence of catheter occlusion, but research exploring the risk factors for such an occlusion for patients in intensive care units (icus) is lacking.. . context: peripherally inserted central catheters (piccs) have a high incidence of catheter occlusion, but research exploring the risk factors for such an occlusion for patients in intensive care units (icus) is lacking. the team: (1) built a risk prediction model of picc occlusion using the independent risk factors for catheter occlusion for picc patients in an icu and (2) used the hosmer-lemeshow goodness-of-fit test to test the prediction model. this prediction model had an outstanding ability to discriminate in identifying patients with a high-risk of picc occlusion in the icu.."
37573601,Diabete,No,"results: the univariate analysis showed that 13 factors were associated with picc occlusion, including: (1) an age ≥65 years (p < .001), a bmi of ≥24 kg/m2 (p < .001), (2) a bmi of ≥24kg/m2 (p = .002), (3) diabetes (p < .001), (4) stroke (p < .001), (5) hypertension (p < .001), (6) malignant tumors (p < .001), (7) a history of deep vein thrombosis (p < .001), (8) limb activity (p < .001), (10) flushing and sealing pipe frequency of q8h (p = .035), (11) retention time (p < .001), (12) an increased platelet count (p = .036), (13) blood transfusions (p < .001), and (14) intravenous nutrition (p < .001). the independent risk factors for picc occlusion included: (1) age ≥65 years-or=1.224, p = .028; (2) bmi ≥24 kg/m2-or=1.679, p = .004; (3) diabetes-or=1.343, p = .017; (4) malignant tumors-or=2.736, p < .001; (5) blood transfusions-or=1.947, p < .001), and (6) intravenous nutrition-or=2.021, p < .001. conclusions: age ≥65 years, bmi ≥24 kg/m2, diabetes, malignant tumors, blood transfusions, and intravenous nutrition were independent risk factors for picc occlusion, while the frequency of flushing and sealing pipe (q8h) was a protective factor.. ."
37573601,BMI,Yes,". results: the univariate analysis showed that 13 factors were associated with picc occlusion, including: (1) an age ≥65 years (p < .001), a bmi of ≥24 kg/m2 (p < .001), (2) a bmi of ≥24kg/m2 (p = .002), (3) diabetes (p < .001), (4) stroke (p < .001), (5) hypertension (p < .001), (6) malignant tumors (p < .001), (7) a history of deep vein thrombosis (p < .001), (8) limb activity (p < .001), (10) flushing and sealing pipe frequency of q8h (p = .035), (11) retention time (p < .001), (12) an increased platelet count (p = .036), (13) blood transfusions (p < .001), and (14) intravenous nutrition (p < .001). the independent risk factors for picc occlusion included: (1) age ≥65 years-or=1.224, p = .028; (2) bmi ≥24 kg/m2-or=1.679, p = .004; (3) diabetes-or=1.343, p = .017; (4) malignant tumors-or=2.736, p < .001; (5) blood transfusions-or=1.947, p < .001), and (6) intravenous nutrition-or=2.021, p < .001. conclusions: age ≥65 years, bmi ≥24 kg/m2, diabetes, malignant tumors, blood transfusions, and intravenous nutrition were independent risk factors for picc occlusion, while the frequency of flushing and sealing pipe (q8h) was a protective factor.."
37573601,Age,Yes,"results: the univariate analysis showed that 13 factors were associated with picc occlusion, including: (1) an age ≥65 years (p < .001), a bmi of ≥24 kg/m2 (p < .001), (2) a bmi of ≥24kg/m2 (p = .002), (3) diabetes (p < .001), (4) stroke (p < .001), (5) hypertension (p < .001), (6) malignant tumors (p < .001), (7) a history of deep vein thrombosis (p < .001), (8) limb activity (p < .001), (10) flushing and sealing pipe frequency of q8h (p = .035), (11) retention time (p < .001), (12) an increased platelet count (p = .036), (13) blood transfusions (p < .001), and (14) intravenous nutrition (p < .001). the independent risk factors for picc occlusion included: (1) age ≥65 years-or=1.224, p = .028; (2) bmi ≥24 kg/m2-or=1.679, p = .004; (3) diabetes-or=1.343, p = .017; (4) malignant tumors-or=2.736, p < .001; (5) blood transfusions-or=1.947, p < .001), and (6) intravenous nutrition-or=2.021, p < .001. conclusions: age ≥65 years, bmi ≥24 kg/m2, diabetes, malignant tumors, blood transfusions, and intravenous nutrition were independent risk factors for picc occlusion, while the frequency of flushing and sealing pipe (q8h) was a protective factor.. ."
37573601,Biology ( blood platelet level_white blood cell level_triglycerides_fibrinogen),No,"results: the univariate analysis showed that 13 factors were associated with picc occlusion, including: (1) an age ≥65 years (p < .001), a bmi of ≥24 kg/m2 (p < .001), (2) a bmi of ≥24kg/m2 (p = .002), (3) diabetes (p < .001), (4) stroke (p < .001), (5) hypertension (p < .001), (6) malignant tumors (p < .001), (7) a history of deep vein thrombosis (p < .001), (8) limb activity (p < .001), (10) flushing and sealing pipe frequency of q8h (p = .035), (11) retention time (p < .001), (12) an increased platelet count (p = .036), (13) blood transfusions (p < .001), and (14) intravenous nutrition (p < .001).. ."
37573601,Hypertension,Yes,"results: the univariate analysis showed that 13 factors were associated with picc occlusion, including: (1) an age ≥65 years (p < .001), a bmi of ≥24 kg/m2 (p < .001), (2) a bmi of ≥24kg/m2 (p = .002), (3) diabetes (p < .001), (4) stroke (p < .001), (5) hypertension (p < .001), (6) malignant tumors (p < .001), (7) a history of deep vein thrombosis (p < .001), (8) limb activity (p < .001), (10) flushing and sealing pipe frequency of q8h (p = .035), (11) retention time (p < .001), (12) an increased platelet count (p = .036), (13) blood transfusions (p < .001), and (14) intravenous nutrition (p < .001).."
34540095,Chemotherapy,Yes,"predisposing factors and effect of bundle nursing in picc-related upper extremity deep venous thrombosis in patients with non-hodgkin's lymphoma undergoing chemotherapy. objective: to explore the effects of bundle nursing on picc-related upper extremity deep venous thrombosis (picc-uedvt) in patients with non-hodgkin's lymphoma (nhl) who are undergoing chemotherapy, and contributing factors toward picc-uedvt. methods: 370 nhl patients undergoing chemotherapy in the department of hematology were selected prospectively and randomized into a control group (receiving routine nursing) and an observation group (receiving bundle nursing) using random number method.. ."
34540095,Cancer,No,". predisposing factors and effect of bundle nursing in picc-related upper extremity deep venous thrombosis in patients with non-hodgkin's lymphoma undergoing chemotherapy. objective: to explore the effects of bundle nursing on picc-related upper extremity deep venous thrombosis (picc-uedvt) in patients with non-hodgkin's lymphoma (nhl) who are undergoing chemotherapy, and contributing factors toward picc-uedvt.."
34540095,Performans score_performance status_karnofsky_ECOG_Less activity_bedridden > 72h,No,". tumor stage, ecog score >2, hemoglobin <100 g/l, and d-dimer >0.5 mg/l were factors that contributed to the occurrence of picc-uedvt in nhl patients (p<0.05). conclusion: tumor stage, ecog score >2, reduced hemoglobin, and increased d-dimer levels are predisposing factors for picc-uedvt in nhl patients.."
34738565,Cancer,No,"unless specific contraindications, ports can be preferred for systemic treatment in gynecological cancer patients.. ."
36747971,Smoking,Yes,"additionally, the number of smoking histories in the thrombosis group (18, 38.30%) was significantly higher than that in the nonthrombosis group (5, 9.80%). b) logistic regression analysis indicated that rdw and smoking history were independent risk factors for picc-related thrombosis (or: 3.028, p<0.001; or: 5.640, p=0.023). d) cox regression analysis revealed that rdw and smoking history were independent risk factors for picc-related thrombosis (p<0.001).. ."
34723657,PICC infection,No,bridging the gap: introduction of an antimicrobial peripherally inserted central catheter (picc) in response to high picc central line-associated bloodstream infection incidence. objective: to reduce the incidence of central line-associated bloodstream infection (clabsi) in peripherally inserted central catheters (picc) through the introduction of an antimicrobial (am) catheter as recommended in evidence-based guidelines and standards..
31387422,PICC infection,No,"the rate of deep vein thrombosis (0.31-1.48/1000 cds) and occlusion differed across the picc types, while the rate of central line-associated bloodstream infection (0.53-0.74/1000 cds) did not.."
32195936,Cancer,No,"the clinical features and related factors of picc-related upper extremity asymptomatic venous thrombosis in cancer patients: a prospective study. it is very important to further explore the relationship among these features, so that prevent and treat the picc-related thrombosis.to investigate the clinical features and the related factors of picc-related upper extremity asymptomatic venous thrombosis in cancer patients, and to provide theoretical basis for the prevention of venous thrombosis.a total of 127 tumor patients with picc catheterization were selected.. ."
32195936,Slower blood flow velocity,Yes,"the clinical characteristics and influencing factors of asymptomatic thrombosis such as vessel diameter, blood flow velocity, thrombosis time, location, and the thrombosis stages were recorded.the incidence of picc-related upper limbs asymptomatic thrombosis was 48.82% (62/127), and the median time was 3 days. the group trajectory analysis indicated the 3 changes of blood flow velocity during the follow-up period: downward trend, upward trend, and steady fluctuations. cox proportional hazards model suggested that the patient's eastern cooperative oncology group score (hazard ratio [hr] 2.791, 95% confidence interval [ci] 0.08-0.76) and blood flow velocity (hr 0.250, 95% ci 2.01-3.87) was the risk of picc-related asymptomatic thrombosis.picc catheterization can affect blood flow and asymptomatic thrombosis can occur at an early stage.."
27161689,Cancer,No,". whereas those with picc associated infection (n=18), 5 had non-hodgkin's lymphoma and 5 had acute lymphoid leukaemia.."
27161689,Age,No,the mean age of patients who has picc associated thrombosis was 51.6 years (±8.1 years).. .
27161689,PICC infection,Yes,"the main outcome measures were picc associated thrombosis and/or infection results: of 131 picc placements in a total of 90 patients. whereas those with picc associated infection (n=18), 5 had non-hodgkin's lymphoma and 5 had acute lymphoid leukaemia. decreased in picc lumen size was shown to influence the risk of complications; of 5 french catheters, 20% had thrombosis and 15% had infection, vs.."
31724074,Cancer,No,"purpose: the use of central venous catheters with peripheral insertion (picc) has increased rapidly in recent years, particularly in cancer patients.. ."
37445515,Biology ( blood platelet level_white blood cell level_triglycerides_fibrinogen),No,"picc-related dvt was associated with higher d-dimers (0.37 μg/ml, 95% ci 0.02, 0.72; p = 0.04, i(2) = 92%; p for heterogeneity < 0.00001) and with higher platelets (8.76 × 10(9)/l, 95% ci 1.62, 15.91; p = 0.02, i(2) = 41%; p for heterogeneity = 0.06). conclusions: high levels of d-dimer and platelet were associated with dvt in patients with picc.. . however, biomarkers such as aptt, fibrinogen, fdp, glucose, hemoglobin, glycated hemoglobin, inr, prothrombin time, prothrombin fragment 1.2, the thrombin-antithrombin complex, and wbc were not related to the development of dvt associated with picc.."
35071472,Anticoagulants therapy,Yes,"results: after picc removal, no patients in the anticoagulation therapy group developed progressive thrombosis, while 10 patients in the catheter removal alone group developed progressive thrombosis or pulmonary embolism (pe), including one case of pe, four cases of secondary upper extremity deep vein thrombosis (uedvt), and five patients showed obvious aggravation of thrombosis after catheter removal, and were administered repeated anticoagulant therapy.. ."
33617142,Performans score_performance status_karnofsky_ECOG_Less activity_bedridden > 72h,No,". a higher eastern cooperative oncology group score (ecog), slower blood flow velocity and left basilic vein were independent risk factors of asymptomatic thrombosis.."
33617142,Slower blood flow velocity,Yes,"a higher eastern cooperative oncology group score (ecog), slower blood flow velocity and left basilic vein were independent risk factors of asymptomatic thrombosis.."
32921123,Chemotherapy,Yes,a total of 98 patients with malignant tumors who underwent long-term chemotherapy with picc were randomly divided into an observation group (49 cases) and a control group (49 cases).. .
32921123,Biology ( blood platelet level_white blood cell level_triglycerides_fibrinogen),Yes,". results: after the intervention, the activated partial thromboplastin time (aptt) and prothrombin time (pt) in the observation group were longer than those in the control group, while fibrinogen (fib) was lower than that in the control group (all p<0.05).."
25726426,Surgery_type of surgery,Yes,"patients with picc-dvt were more likely to have a history of venous thromboembolism (or 1.70, 95% ci=1.02-2.82) or have undergone surgery while the picc was in situ (or 2.17, 95%ci=1.17-4.01 for surgeries longer than two hours).."
28386787,PICC infection,No,"three venous thromboses were reported (8%), requesting one picc removal because of associated infection.."
37553006,Cancer,No,upper limb lymphedema impacts the risk of peripherally inserted central catheter-related thrombosis in patients with breast cancer. there is little information on the risk for catheter-related thrombosis in patients with upper limb lymphedema following breast cancer treatment. we investigated the association between upper limb lymphedema and the risk of peripherally inserted central catheterrelated thrombosis (picc-rt) occurring in the contralateral limb of patients with breast cancer.. .
34613657,Cancer,No,"development of a risk score to predict peripherally inserted central catheter thrombosis in active cancer. in active cancer, we assessed the khorana risk score (krs) and michigan risk score (mrs) for predicting picc thrombosis and modifications to improve discriminative accuracy. conclusion: cancer patients had longer picc durations and higher picc thrombosis rates than those without (7% vs 0.7%).. ."
35216538,PICC infection,No,"furthermore, the authors found that only 1.85% of all catheters developed local infection within d8, and only 0.83% evolved in vein thrombosis.."
33148905,Cancer,No,"conclusion : piccs are safer and more effective than ciccs for the treatment of esophageal cancer, and reduce the incidence of crbsi.. ."
33148905,PICC infection,No,the incidence of catheter-related blood stream infection (crbsi) was significantly lower in picc than cicc patients (0.3 vs..
25910751,Cancer,No,". cox regression analyses of variables associated to crbsis and to crtcs showed that only the type of disease (acute leukemia compared to other diseases) was significantly associated to a higher incidence of crbsis, while no feature was predictive for a higher risk of crtcs.."
25910751,PICC infection,No,"catheter-associated bloodstream infections and thrombotic risk in hematologic patients with peripherally inserted central catheters (picc). to evaluate the impact of complications associated to these devices in patients with hematologic malignancies, we revised the catheter-related bloodstream infections (crbsi) and the catheter-related thrombotic complications (crtc) observed at our institute between january 2009 and december 2012.."
25593110,PICC insertion procedure,No,. the size of the vein used for picc insertion and thus the catheter to vein ratio is thought to be a controllable factor in the reduction of vte rates in patients who have a picc..
32441173,PICC infection,No,"the risk of infection associated with picc use was the most variable, with rates ranging from 4% to 37%. this suggests that infection risk may be modifiable and further studies are needed to assess interventions that may lower this risk.."
33782091,PICC infection,No,"logistic regression and poisson models were fit to assess the association between appropriateness and complications (composite of catheter occlusion, venous thromboembolism (vte) and central line-associated bloodstream infection (clabsi)).."
34511570,Chemotherapy,No,"risk factors for complications associated with peripherally inserted central catheters during induction chemotherapy for acute myeloid leukemia. however, the risks of picc-related complications during chemotherapy for acute myeloid leukemia (aml) are not fully understood. conclusion low picc-related complication rates, possibly associated with high rates of catheter removal, were observed during intensive chemotherapy for aml.. ."
34511570,Cancer,No,". risk factors for complications associated with peripherally inserted central catheters during induction chemotherapy for acute myeloid leukemia. however, the risks of picc-related complications during chemotherapy for acute myeloid leukemia (aml) are not fully understood.."
34511570,BMI,Yes,obesity put patients at an increased risk for crt.. .
34511570,PICC infection,No,"the incidence rate of catheter-related bloodstream infection (crbsi) was 2.4% at 30 days, and women were more likely to suffer from crbsi than men.."
33249623,Chemotherapy,Yes,". based on the multivariate analysis, history of smoking [or 2.49 (1.13-5.46), p < .05], use of carboplatin [or 2.23 (1.19-4.17), p < .05] or docetaxel [or 7.23 (1.65-31.56), p < .05], picc size [or 3.52 (1.78-6.99), p < .001], and level of d-dimer [or 5.32 (2.39-11.83), p < .001] were significant risk factors of picc-rt.."
33249623,Cancer,No,incidence and risk factors of symptomatic thrombosis related to peripherally inserted central catheter in patients with lung cancer. aims: to determine the incidence and risk factors associated with peripherally inserted central catheter-related thrombosis (picc-rt) in patients with lung cancer.. .
33249623,Smoking,Yes,"based on the multivariate analysis, history of smoking [or 2.49 (1.13-5.46), p < .05], use of carboplatin [or 2.23 (1.19-4.17), p < .05] or docetaxel [or 7.23 (1.65-31.56), p < .05], picc size [or 3.52 (1.78-6.99), p < .001], and level of d-dimer [or 5.32 (2.39-11.83), p < .001] were significant risk factors of picc-rt.. ."
31900609,PICC infection,Yes,"catheter-related bloodstream infections (crbsi) occurred in 32% of patients (2.5/1000 picc days), associated with thrombosis in 8 cases.."
34794291,Cancer,No,"conclusion: the indications for picc through the lower limbs in adults include patients with advanced malignant tumor after bilateral breast cancer lymphadenectomy or superior vena cava obstruction syndrome, and mainly bedridden patients.. ."
34794291,Performans score_performance status_karnofsky_ECOG_Less activity_bedridden > 72h,No,". conclusion: the indications for picc through the lower limbs in adults include patients with advanced malignant tumor after bilateral breast cancer lymphadenectomy or superior vena cava obstruction syndrome, and mainly bedridden patients. key words: lower limb picc, deep venous catheterisation, advanced malignant tumor, bedridden.."
34794291,PICC infection,No,no catheter-related infection was found in the two groups of patients..
30683751,PICC infection,No,"during the 70-day follow-up period, 61.4% of patients reported signs of at least one complication, including potentially serious complications, such as bloodstream infection (17.6%) and deep vein thrombosis (30.6%).."
37333869,PICC insertion procedure,No,. methods: a retrospective analysis of picc insertions and follow-up during a 9 years period to look at patient demographics and infections related to picc was carried out..
37333869,PICC infection,No,"peripherally inserted central catheters-associated blood stream infections-occurrence, risk factors, and pathogens, a single center study. methods: a retrospective analysis of picc insertions and follow-up during a 9 years period to look at patient demographics and infections related to picc was carried out. commonest complication was thrombosis followed by infection, either picc-associated bloodstream infection (pabsi) or local infection (li).."
26207019,Chemotherapy,Yes,we aimed to scrutinize the incidence and risk factors for picc-related upper extremity venous thrombosis (uevt) in patients with lung cancer receiving chemotherapy.. . patients treated with etoposide had a higher risk of picc-related uevt (or: 3.6; 95% ci: 1.1-12.1; p = .042). conclusion: patients with lung cancer harboring an advanced disease or treating with etoposide were at higher risk of picc-uevt..
26207019,Cancer,No,"we aimed to scrutinize the incidence and risk factors for picc-related upper extremity venous thrombosis (uevt) in patients with lung cancer receiving chemotherapy. patient-, catheter-, and insertion-related factors were analyzed in univariable and multivariable logistic regression to identify significant independent risk factors for picc-uevt in patients with lung cancer. conclusion: patients with lung cancer harboring an advanced disease or treating with etoposide were at higher risk of picc-uevt.. ."
33499716,PICC infection,No,"catheter-associated infections, dislodgement or migration, malfunction, and picc-associated thrombosis were recorded. line associated infection was the most common complication (17.2%).."
35875074,Non-O blood type_ group B,Yes,"meta-analysis of the studies showed that the risk of picc-associated vte was significantly higher in blood types a [odds ratio (or)=1.54, 95% ci=1.17-2.03), p=0.002], b (or=2.35, 95% ci=1.71-3.23, p<0.0001), and ab (or=2.55, 95% ci=1.68-3.88, p<0.0001) and lower in blood types o (or=0.58, 95% ci=0.45-0.74, p<0.0001). subgroup analysis based on ethnicity demonstrated that blood type o may be a genetic protective factor for picc-associated vte in asians. among caucasians, individuals with blood types b and ab have a higher risk of picc-associated vte. blood types a, b, and ab are risk factors for picc-associated vte in asians. conclusions: blood type o is associated with a decreased risk of picc-associated vte, especially in asian populations. moreover, blood types a, b, and ab are risk factors for picc-associated vte.."
24268631,Cancer,Yes,"there was a statistically significantly higher thrombosis rate in patients with cancer (71.9% vs 66.7%, p = .002).. ."
24268631,PICC insertion procedure,Yes,. conclusions: this study showed a high incidence of thrombosis of peripheral veins used for picc insertion..
38072566,Chemotherapy,No,participants with malignant tumors receiving chemotherapy who accepted picc insertion operation were randomly allocated to the aspirin treatment group (n = 235) or the control group (n = 246).. .
38072566,PICC insertion procedure,No,. participants with malignant tumors receiving chemotherapy who accepted picc insertion operation were randomly allocated to the aspirin treatment group (n = 235) or the control group (n = 246)..
38072566,PICC infection,No,"however, piccs are significantly associated with catheter related complications, including deep vein thrombosis, blood infection, fibrin sheath, catheter prolapse, catheter displacement and blockage.."
34373674,Number of comorbidities/HTA/Hyperglycemia,No,". the major objectives of this study are identifying the rate of upper extremity picc-associated dvts after orthopaedic procedures;which orthopaedic subspecialties are most likely to encounter an upper extremity picc-associated dvt?what surgeries or medical comorbidities are risk factors for upper extremity picc-associated dvts?does type of dvt chemoprophylaxis decrease the risk of an upper extremity picc-associated dvt? methods: a retrospective review of electronic medical records (emr) was performed to include all patients undergoing irrigation and debridement (i&d) for treatment of orthopaedic surgery-related infections over a 10-year period. mann-whitney non-parametric tests, fisher's exact tests, chi-square tests, and cochran-mantel-haenszel (cmh) tests were used to determine associations with dvt events for those with piccs based on medical comorbidities, picc lumen size, team placing the picc, impact of implant removal, and protective effect of dvt chemoprophylaxis.."
34373674,Surgery_type of surgery,No,the major objectives of this study are identifying the rate of upper extremity picc-associated dvts after orthopaedic procedures;which orthopaedic subspecialties are most likely to encounter an upper extremity picc-associated dvt?what surgeries or medical comorbidities are risk factors for upper extremity picc-associated dvts?does type of dvt chemoprophylaxis decrease the risk of an upper extremity picc-associated dvt? methods: a retrospective review of electronic medical records (emr) was performed to include all patients undergoing irrigation and debridement (i&d) for treatment of orthopaedic surgery-related infections over a 10-year period..
34373674,PICC infection,No,the major objectives of this study are identifying the rate of upper extremity picc-associated dvts after orthopaedic procedures;which orthopaedic subspecialties are most likely to encounter an upper extremity picc-associated dvt?what surgeries or medical comorbidities are risk factors for upper extremity picc-associated dvts?does type of dvt chemoprophylaxis decrease the risk of an upper extremity picc-associated dvt? methods: a retrospective review of electronic medical records (emr) was performed to include all patients undergoing irrigation and debridement (i&d) for treatment of orthopaedic surgery-related infections over a 10-year period..
29615373,PICC indwelling time,No,". the picc indwelling time was statistically different between the group with successful catheter advancement (n = 36, success group) and the group with failed catheter advancement (n = 18, failure group; p = .007) with ipsilateral trimmed piccs.."
26349890,Chemotherapy,Yes,"purpose: to identify clinical incidence, risk factors and treatment of peripherally inserted central venous catheters (piccs)-related upper extremity venous thrombosis (uevt) in breast cancer patients undergoing chemotherapy.. ."
26349890,Cancer,No,"purpose: to identify clinical incidence, risk factors and treatment of peripherally inserted central venous catheters (piccs)-related upper extremity venous thrombosis (uevt) in breast cancer patients undergoing chemotherapy. conclusions: metastasis and malposition were significant risk factors for picc-related uevt in breast cancer patients.. . in multivariable analysis, metastasis (p = 0.002) and malposition (p = 0.013) were shown to be significant risk factors for picc-related uevt. conclusions: metastasis and malposition were significant risk factors for picc-related uevt in breast cancer patients.."
26349890,PICC insertion procedure,No,". in multivariable analysis, metastasis (p = 0.002) and malposition (p = 0.013) were shown to be significant risk factors for picc-related uevt. conclusions: metastasis and malposition were significant risk factors for picc-related uevt in breast cancer patients.."
33383236,Chemotherapy,Yes,"background: a peripherally inserted central catheter (picc) is often necessary for patients receiving chemotherapy, but there is a risk of picc-related venous thrombosis (vt). we sought to use the caprini thrombosis risk model and color doppler flow imaging for the dynamic monitoring of an eventual thrombosis in patients receiving chemotherapy.. ."
33383236,Cancer,No,the caprini thrombosis risk model predicts the risk of peripherally inserted central catheter-related upper extremity venous thrombosis in patients with cancer.. .
24612469,Two or more lumens,Yes,". on bivariate analysis, recent diagnosis of cancer, interventional radiology placement, chemotherapy administration, number of lumens and picc-gauge were associated with picc-dvt.."
24612469,Chemotherapy,Yes,"on bivariate analysis, recent diagnosis of cancer, interventional radiology placement, chemotherapy administration, number of lumens and picc-gauge were associated with picc-dvt.. ."
