PMID,FACTOR,RISK,TEXT,LLM_OUTPUT
38072566,Chemotherapy,Yes,participants with malignant tumors receiving chemotherapy who accepted picc insertion operation were randomly allocated to the aspirin treatment group (n = 235) or the control group (n = 246)..,Yes
29615373,PICC indwelling time,Yes,"the picc indwelling time was statistically different between the group with successful catheter advancement (n = 36, success group) and the group with failed catheter advancement (n = 18, failure group; p = .007) with ipsilateral trimmed piccs..",Yes
26349890,Chemotherapy,Yes,"purpose: to identify clinical incidence, risk factors and treatment of peripherally inserted central venous catheters (piccs)-related upper extremity venous thrombosis (uevt) in breast cancer patients undergoing chemotherapy..","Yes. The text mentions ""chemotherapy"" as a risk factor for peripherally inserted central venous catheters (PICCs)-related upper extremity venous thrombosis (UETV) in breast cancer patients."
26349890,Cancer,Yes,"purpose: to identify clinical incidence, risk factors and treatment of peripherally inserted central venous catheters (piccs)-related upper extremity venous thrombosis (uevt) in breast cancer patients undergoing chemotherapy. conclusions: metastasis and malposition were significant risk factors for picc-related uevt in breast cancer patients..",Yes
33383236,Chemotherapy,Yes,"background: a peripherally inserted central catheter (picc) is often necessary for patients receiving chemotherapy, but there is a risk of picc-related venous thrombosis (vt). we sought to use the caprini thrombosis risk model and color doppler flow imaging for the dynamic monitoring of an eventual thrombosis in patients receiving chemotherapy..",Yes.
33383236,Cancer,Yes,the caprini thrombosis risk model predicts the risk of peripherally inserted central catheter-related upper extremity venous thrombosis in patients with cancer..,Yes.
24612469,Chemotherapy,Yes,"on bivariate analysis, recent diagnosis of cancer, interventional radiology placement, chemotherapy administration, number of lumens and picc-gauge were associated with picc-dvt..",Yes
24612469,Cancer,Yes,"on bivariate analysis, recent diagnosis of cancer, interventional radiology placement, chemotherapy administration, number of lumens and picc-gauge were associated with picc-dvt. following multivariable adjustment, recent cancer diagnosis (or 1.95 [95% ci 1.01-3.76]) and picc gauge (hr 2.21 [95%ci 1.04-4.70] and hr 3.56 [95%ci 1.31-9.66] for 5-fr and 6-fr piccs, respectively) remained associated with thrombosis. conclusions: recent diagnosis of cancer and picc gauge are associated with picc-dvt..","Yes. According to the text, cancer is a risk factor for PICC-DVT."
34103988,Cancer,Yes,"the incidence, risk factors, and patterns of peripherally inserted central catheter-related venous thrombosis in cancer patients followed up by ultrasound. purpose: a peripherally inserted central catheter (picc) is associated with venous thromboembolism (vte) especially in patients suffering from cancer. we analyzed the incidence, risk factors, and patterns of picc-related vte in cancer patients..",Yes
29125332,Chemotherapy,Yes,"univariate analysis adjusting for the clustered sample showed that having chemotherapy, two or more previous piccs, a larger catheter size, a diagnosis of cancer and having a blood group b were all associated with an increased risk of a vt..","Yes. According to the text, chemotherapy is a risk factor for ventricular tachycardia (VT)."
29125332,Cancer,Yes,"univariate analysis adjusting for the clustered sample showed that having chemotherapy, two or more previous piccs, a larger catheter size, a diagnosis of cancer and having a blood group b were all associated with an increased risk of a vt. in the multivariate analysis, picc diameter, cancer diagnosis and blood group b were all independently associated with increased risk of vt. conclusion: patients undergoing picc insertion with a blood group b appear to have a higher risk of vt, independent of risks attached to the picc procedure and cancer diagnosis..",Yes
27078849,Cancer,Yes,"the risk factors for deep vein thrombosis associated with the use of piccs in cancer patients are largely unexplored. this study aimed to investigate the incidence of picc-associated thrombosis in lymphoma compared with its incidences in other types of cancer. logistic analysis revealed that a lymphoma diagnosis was a risk factor for uedvt in cancer patients inserted with picc (or: 3.849, 95% ci: 2.334-6.347)..",Yes
30632436,Age,Yes,"risk factors associated with peripherally inserted central catheter-related venous thrombosis in hospitalized patients of advanced age. objective: this study was performed to determine the risk factors associated with peripherally inserted central catheter (picc)-related venous thrombosis in patients of advanced age (>65 years). conclusions: a history of thrombosis, high number of lumens, and large-gauge catheters were strong risk factors for patients aged >65 years undergoing picc placement..",Yes
30632436,History Of Thrombosis,Yes,"conclusions: a history of thrombosis, high number of lumens, and large-gauge catheters were strong risk factors for patients aged >65 years undergoing picc placement..","Yes. According to the text, a history of thrombosis is a risk factor for patients aged >65 years undergoing PICC placement."
25295962,Age,Yes,methods: this was a 5-year retrospective cohort study with subsequent 21-month prospective observation following implementation of a qi intervention in adults (aged 18 yr or older) with cf..,"Yes. According to the text, the study population consisted of adults aged 18 years or older, which makes age a risk factor for the outcome being studied."
25935657,Chemotherapy,Yes,conclusions: this study highlights the utility of a multidisciplinary approach for picc care in adults with hm receiving intensive chemotherapy..,Yes
28149507,Age,Yes,"multivariate logistic regression analysis showed that the occurrence of occlusion was significantly associated with an age > 65 years (or = 4.19; 95% ci [1.1-15.81]) and the presence of a pre-occlusive event the week before picc removal (or = 76.35; 95% ci [9.36-622.97]). occlusion and accidental withdrawal were the most common complications, with age > 65 and catheter pre-occlusive event associated with an increased likelihood of catheter occlusion..",Yes
30755503,Chemotherapy,Yes,"conclusion: use of picc for chemotherapy administration was associated with a low all-aes rate. moreover, alternatives to piccs should be considered when administering chemotherapy to young men..",Yes
30755503,Age,Yes,"more research is needed to explore the interaction between aes, sex, and age..",Yes
25673995,Chemotherapy,Yes,"background: peripherally inserted central catheters (piccs) are widely used in chemotherapy, but the reported picc thrombosis incidence varies greatly, and risks of picc thrombosis are not well defined. the univariable logistic regression analysis showed that complications (odds ratio [or] 1.686, p=0.032), less activity (or 1.476, p=0.006), obesity (or 3.148, p=0.000), and chemotherapy history (or 3.405, p=0.030) were associated with picc thrombosis..",Yes
25673995,Cancer,Yes,peripherally inserted central catheter thrombosis incidence and risk factors in cancer patients: a double-center prospective investigation. this study was to investigate the incidence and risk factors of picc-related upper extremity vein thrombosis in cancer patients..,Yes
23440314,Cancer,Yes,"conclusions: in cancer patients with uncorrected profound thrombocytopaenia, the incidence of adverse events after picc implantation was low, and was limited to minor haemorrhagic adverse events. key points: • picc placement has high technical success in profound thrombocytopaenic cancer patients..",Yes
29872323,BMI,Yes,"in univariable analysis, body mass index (bmi), eastern cooperative oncology group (ecog) score, metastasis stage (m stage), and vte history were associated with symptomatic picc-vte. following multivariable adjustments, bmi (or 0.900, p=0.007), ecog score (or 4.162, p=0.011), m stage (or 2.717, p=0.019), and vte history (or 109.772, p<0.001) were still statistically significant. those with vte history and lower bmi and worse ecog performance score metastatic npc patients are more susceptible to symptomatic picc-related thrombosis and thus may require prophylactic anticoagulation..","Yes. According to the text, BMI is a risk factor for symptomatic PICC-related thrombosis in metastatic non-small cell lung cancer (NSCLC) patients."
25664112,BMI,Yes,"the medical information of 159 patients (age, body mass index (bmi), diagnosis, smoking history, nutritional risk score, platelet count, leucocyte count as well as levels of d-dimer, fibrinogen, and degradation products of fibrin) were collected..",Yes
25664112,Smoking,Yes,"the medical information of 159 patients (age, body mass index (bmi), diagnosis, smoking history, nutritional risk score, platelet count, leucocyte count as well as levels of d-dimer, fibrinogen, and degradation products of fibrin) were collected..",Yes
24246096,Cancer,Yes,"five baseline exposure factors, including primary lung cancer, metastatic lung cancer, chest radiotherapy, vigorous coughing and severe vomiting, were significant risk factors of picc spontaneous dislodgment..","Yes. According to the text, ""primary lung cancer,"" ""metastatic lung cancer,"" and ""severe vomiting"" are all risk factors for Picc spontaneous dislodgment."
24954426,Transplantation,Yes,are peripherally inserted central catheters associated with increased risk of adverse events in status 1b patients awaiting transplantation on continuous intravenous milrinone? ..,Yes.
24954426,PICC infection,Yes,"regression analysis found that a double lumen picc was associated with a shorter time to first picc infection (hazard ratio 7.59, 95% ci 1.97-29.23; p = .003)..",Yes
23838218,Immunosuppression,Yes,"immunosuppression (p<.01), power-injectable piccs (p=.05), and 3 picc lumens compared with 1 lumen (p=.02) were associated with clabsi. conclusions: immunosuppression and 3 picc lumens were associated with increased risk of clabsi..",Yes
36010017,Age,Yes,"the control group included premature infants (n = 56) matched (1:8) by the following: did not experience venous thrombosis; born with a similar gestational age (±2 w), birth weight (±200 g); and received picc catheterization in the same period (±4 w). the corrected gestational age when picc-related thrombosis occurred in the thrombosis group was 32 + 6 (30 + 1, 34 + 1) weeks..",Yes
24005884,Chemotherapy,Yes,"conclusions: port devices are associated with a lower risk of complications, with no difference in cost, compared to picc lines in patients with non-haematological malignancies receiving intravenous chemotherapy..",Yes
30704933,Chemotherapy,Yes,"the use of a picc is safer than that of a cicc and maintains the effectiveness for patients with aml undergoing chemotherapy, with an approximate fourfold lower combined risk of infection or thrombosis at 30 days..",Yes
30704933,Age,Yes,"results: the cr-bsi and cr-vt rate in the picc and cicc groups was 13% and 49%, respectively, with a difference of 36 percentage points (relative risk for cr-bsi or cr-vt, 0.266; p = .0003)..",Yes
34432170,Cancer,Yes,"a model to assess the risk of peripherally inserted central venous catheter-related thrombosis in patients with breast cancer: a retrospective cohort study. purpose: limited risk assessment tool to stratify the risk of picc-related thrombosis (picc-rvt) in breast cancer patients. this study developed a model to assess the risk of picc-rvt in breast cancer patients. conclusion: several disease-specific factors of breast cancer (e.g., menopause, endocrine therapy, and upper extremity lymphedema) play important roles in the development of picc-rvt..",Yes
27542955,Cancer,Yes,the prevalence and incidence rates of crt in our al patients were higher than predicted for a general cancer patient population..,Yes
27020965,Chemotherapy,Yes,"background and objectives: the increasing use of peripherally inserted central venous catheters (piccs) for chemotherapy has led to the observation of an elevated risk of complications and failures. statistically significant risk factors were previous dvt (hr 2.95, 95%ci 1.33-6.53), reason for picc implant (hr 3.65, 95%ci 1.12-10.34) and 5-fluorouracil, oxaliplatin and bevacizumab based chemotherapy (hr 3.11, 95%ci 1.17-8.26). nevertheless, a 15% rate of failure has to be taken in account when planning picc insertion for chemotherapy purposes..",Yes
35034480,Cancer,Yes,"a previous report on breast cancer patients demonstrated the safety and efficacy of these devices, with a very low failure rate..",Yes
33893843,Chemotherapy,Yes,"however, patients with higher caprini scores and higher fibrinogen levels are at increased risk for picc-rvt, as are patients receiving chemotherapy..",Yes
33893843,Cancer,Yes,plasminogen activator inhibitor-1 gene promoter 4g/5g polymorphism and risks of peripherally inserted central catheter-related venous thrombosis in patients with lung cancer: a prospective cohort study. purpose: this study investigated the influence of plasminogen activator inhibitor-1 (pai-1) gene polymorphisms and other contributing clinical factors on peripherally inserted central catheter-related venous thrombosis (picc-rvt) in chinese patients with lung cancer..,Yes
34673343,Hypertension,Yes,complications associated with peripherally inserted central catheters and hickman™ in patients with advanced pulmonary hypertension treated with intravenous prostanoids..,Yes.
36726149,Cancer,Yes,"considering the risk-benefit ratio, further well-designed trials are required to optimize the drug selection and duration for the treatment of picc-related uedvt in cancer patients..",Yes
31948240,Chemotherapy,Yes,permanent venous access devices allow the application of chemotherapy and repeated blood sample collections with minimal impact on the quality of life in cancer patients..,Yes
31948240,Cancer,Yes,permanent venous access devices allow the application of chemotherapy and repeated blood sample collections with minimal impact on the quality of life in cancer patients..,yes
32572092,Cancer,Yes,a longitudinal observational retrospective study on risk factors and predictive model of picc associated thrombosis in cancer patients..,"Yes. According to the text, cancer is identified as a risk factor for picc-associated thrombosis in cancer patients."
32572092,BMI,Yes,"tumor, sex, age, weight, height, bmi, bsa, ps, wbc, bpc, pt, d-dimer, aptt, fib, smoking history, location, catheter length, ratio and number as independent variables were analyzed by fisher's scoring, then logistic risk regression, roc analysis and nomogram was introduced..",Yes. BMI is included as an independent variable in the analysis.
32572092,Smoking,Yes,"tumor, sex, age, weight, height, bmi, bsa, ps, wbc, bpc, pt, d-dimer, aptt, fib, smoking history, location, catheter length, ratio and number as independent variables were analyzed by fisher's scoring, then logistic risk regression, roc analysis and nomogram was introduced..",Yes
26202391,Chemotherapy,Yes,"multivariate logistic regression analysis showed a higher picc-related infection rate with chemotherapy (odds ratio (or) 7.2-confidence interval (ci) 95% [1.77-29.5]), auto/allograft (or 5.9-ci 95% [1.2-29.2]), and anti-coagulant therapy (or 2.2-95% [1.4-12]). conclusion: chemotherapy, auto/allograft, and anti-coagulant therapy are associated with an increased risk of developing picc-related infections. clinical advance: chemotherapy, auto/allograft, and anti-coagulant therapy are important predictors of picc-associated infections..",Yes
35943390,Chemotherapy,Yes,conclusions: piccs were associated with significant complications in hospitalized patients who had solid malignancies and were often used for reasons other than chemotherapy..,Yes
30673943,Chemotherapy,Yes,"patients treated with picc removal alone were more likely to have hematologic malignancy, receive chemotherapy, develop thrombocytopenia, and have brachial vein thrombosis..",Yes.
36853924,Cancer,Yes,this study demonstrated the effectiveness of picc and that patients with haematological cancer are more prone to multiple picc passages and more mechanical complications and infections..,Yes
33860712,Age,Yes,age-adjusted d-dimer increased the efficiency for uevt. the primary objective was to evaluate the performance of the mrs and age-adjusted d-dimer in estimating risk of picc-related symptomatic uevt. the incidences of picc-uevt were 4.5% for d-dimer above the age-adjusted threshold and 1.5% for below the threshold (p = 0.001). conclusions: mrs and age-adjusted d-dimer have low accuracy to predict picc-uevt..,Yes
25997503,Total parenteral nutrition,Yes,"univariate and multivariate analysis demonstrated a history of transplant, and the indication of total parenteral nutrition was associated with thrombosis (p<0.001)..",Yes
32709498,ICU,Yes,"objective: to compare central line associated bloodstream infection (clabsi) and catheter-related thrombosis rates in intensive care unit (icu) and onco-hematologic patients with picc lines and cvcs. picc lines were associated with a significantly higher rate of thrombosis in icu [or (95%ci): 2.58(1.80,3.70); p(z)<0.00001] and onco-hematologic [or (95%ci): 2.91(2.11,4.02); p(z)<0.00001] patients. clabsi rates with picc lines were not significantly different in icu patients [or (95%ci): 1.65(0.91,2.99); p(z)= 0.1], but significantly lower clabsi rates were observed in onco-hematologic patients [or (95%ci): 0.38(0.16,0.91); p(z)=0.03]..",Yes
34226216,Cancer,Yes,"this pattern continued when only those with malignancy were included in the analysis, those with cancer had twice the risk of thrombosis with a cvr greater than 45%. these results suggest that in individuals with cancer, the use of a cvr ≤45% should be considered to minimise risk of thrombosis..","Yes. According to the text, cancer is a risk factor for thrombosis."
34729630,Cancer,Yes,"purpose: although a central venous catheter (cvc) is often needed perioperatively for intraoperative and nutritional management of esophageal cancer (ec), the catheter placement impacts the risk of venous thrombosis..",Yes.
33244268,Cancer,Yes,this study aimed to identify effects of venous characteristics on symptomatic picc-related venous thrombosis in cancer patients and explore the relationship between venous characteristics and blood flow velocity..,"Yes, cancer is a risk factor for venous thrombosis."
33244268,BMI,Yes,"in the bivariate analysis, body mass index (bmi), history of venous thrombosis, triglycerides, tumor category, vessel diameter, vessel depth and arm circumference were associated with thrombosis..","Yes. According to the text, BMI is a risk factor for thrombosis in the bivariate analysis."
33157980,Cancer,Yes,"relationship between abo blood group and risk of venous thrombosis in cancer patients with peripherally inserted central catheters: a protocol for systematic review and meta-analysis. in order to provide basis for individual prevention and accurate treatment of vte, the purpose of this study was to explore the relationship between abo blood group and the risk of vte in cancer patients associated with picc through meta-analysis. methods: electronic databases, including embase, cochrane library, pubmed, chinese databases sinomed, chinese national knowledge infrastructure (cnki), chinese scientific journals database (vip), and wanfang data, were searched for case-control studies of abo blood group and picc-related vte in cancer patients. conclusion: this study provided evidence to support the relationship between abo blood group and the risk of picc-related vte in cancer patients..",Yes
