PMID,FACTOR,RISK,TEXT,LLM_OUTPUT
30697126,BMI,Yes,"predictive risk factors of venous thromboembolism (vte) associated with peripherally inserted central catheters (picc) in ambulant solid cancer patients: retrospective single centre cohort study. . aims: peripherally inserted central catheters(picc) lines are becoming increasingly popular in solid cancer patients for the administration of chemotherapy. this study aims looking at the incidence of picc line related and distant thromboembolism associated with these catheters and exploring risk factors. methods: records were reviewed for 158 patients who underwent picc line insertion over the two years period in the medical oncology unit, milton keynes university hospital. the incidence picc line related deep venous thrombosis (dvt) which is defined as upper extremity dvt at the site of picc line insertion was documented after checking reports of ultrasound doppler of all symptomatic patients to confirm the presence of thrombo-embolism and computed tomography(ct)scan or computed tomography pulmonary angiography (ctpa) to confirm the presence pulmonary embolism(pe). results: 23(13%) symptomatic patients with confirmed diagnosis by ultrasound doppler were found to have picc line related dvt and similar number of patients developed distant vte, namely pe and lower limbs dvt. average time to thrombo-embolism from the insertion of picc line was 13 days and 51 days in distant vte. statistically significant results have been identified in the term of risk factors leading to vte events during the period of picc line insertion. conclusions: vte is a common complication in medical oncology patients who underwent insertion picc line insertion for chemotherapy. risk of distant vte is high as well as the picc line related dvt and the risk of the picc line related dvt is higher in the first two weeks after picc insertion. we concluded that high bmi,high plts count and fluropyrimidine containing chemotherapy are all significant risk factors for vte events recorded while smoking and high bmi are significantly contributing to the high rate of the picc line related dvt. ",YES
30697126,Smoking,Yes,"predictive risk factors of venous thromboembolism (vte) associated with peripherally inserted central catheters (picc) in ambulant solid cancer patients: retrospective single centre cohort study. . aims: peripherally inserted central catheters(picc) lines are becoming increasingly popular in solid cancer patients for the administration of chemotherapy. this study aims looking at the incidence of picc line related and distant thromboembolism associated with these catheters and exploring risk factors. methods: records were reviewed for 158 patients who underwent picc line insertion over the two years period in the medical oncology unit, milton keynes university hospital. the incidence picc line related deep venous thrombosis (dvt) which is defined as upper extremity dvt at the site of picc line insertion was documented after checking reports of ultrasound doppler of all symptomatic patients to confirm the presence of thrombo-embolism and computed tomography(ct)scan or computed tomography pulmonary angiography (ctpa) to confirm the presence pulmonary embolism(pe). results: 23(13%) symptomatic patients with confirmed diagnosis by ultrasound doppler were found to have picc line related dvt and similar number of patients developed distant vte, namely pe and lower limbs dvt. average time to thrombo-embolism from the insertion of picc line was 13 days and 51 days in distant vte. statistically significant results have been identified in the term of risk factors leading to vte events during the period of picc line insertion. conclusions: vte is a common complication in medical oncology patients who underwent insertion picc line insertion for chemotherapy. risk of distant vte is high as well as the picc line related dvt and the risk of the picc line related dvt is higher in the first two weeks after picc insertion. we concluded that high bmi,high plts count and fluropyrimidine containing chemotherapy are all significant risk factors for vte events recorded while smoking and high bmi are significantly contributing to the high rate of the picc line related dvt. ",yes
30697126,PICC insertion procedure,Yes,"predictive risk factors of venous thromboembolism (vte) associated with peripherally inserted central catheters (picc) in ambulant solid cancer patients: retrospective single centre cohort study. . aims: peripherally inserted central catheters(picc) lines are becoming increasingly popular in solid cancer patients for the administration of chemotherapy. this study aims looking at the incidence of picc line related and distant thromboembolism associated with these catheters and exploring risk factors. methods: records were reviewed for 158 patients who underwent picc line insertion over the two years period in the medical oncology unit, milton keynes university hospital. the incidence picc line related deep venous thrombosis (dvt) which is defined as upper extremity dvt at the site of picc line insertion was documented after checking reports of ultrasound doppler of all symptomatic patients to confirm the presence of thrombo-embolism and computed tomography(ct)scan or computed tomography pulmonary angiography (ctpa) to confirm the presence pulmonary embolism(pe). results: 23(13%) symptomatic patients with confirmed diagnosis by ultrasound doppler were found to have picc line related dvt and similar number of patients developed distant vte, namely pe and lower limbs dvt. average time to thrombo-embolism from the insertion of picc line was 13 days and 51 days in distant vte. statistically significant results have been identified in the term of risk factors leading to vte events during the period of picc line insertion. conclusions: vte is a common complication in medical oncology patients who underwent insertion picc line insertion for chemotherapy. risk of distant vte is high as well as the picc line related dvt and the risk of the picc line related dvt is higher in the first two weeks after picc insertion. we concluded that high bmi,high plts count and fluropyrimidine containing chemotherapy are all significant risk factors for vte events recorded while smoking and high bmi are significantly contributing to the high rate of the picc line related dvt. ",YES
28796444,Cancer,Yes,"the michigan risk score to predict peripherally inserted central catheter-associated thrombosis. . essentials how best to quantify thrombosis risk with peripherally inserted central catheters (picc) is unknown. data from a registry were used to develop the michigan risk score (mrs) for picc thrombosis. five risk factors were associated with picc thrombosis and used to develop a risk score. mrs was predictive of the risk of picc thrombosis and can be useful in clinical practice. summary: background peripherally inserted central catheters (piccs) are associated with upper extremity deep vein thrombosis (dvt). we developed a score to predict risk of picc-related thrombosis. methods using data from the michigan hospital medicine safety consortium, image-confirmed upper-extremity dvt cases were identified. a logistic, mixed-effects model with hospital-specific random intercepts was used to identify factors associated with picc-dvt. points were assigned to each predictor, stratifying patients into four classes of risk. internal validation was performed by bootstrapping with assessment of calibration and discrimination of the model. results of 23 010 patients who received piccs, 475 (2.1%) developed symptomatic picc-dvt. risk factors associated with picc-dvt included: history of dvt; multi-lumen picc; active cancer; presence of another cvc when the picc was placed; and white blood cell count greater than 12 000. four risk classes were created based on thrombosis risk. thrombosis rates were 0.9% for class i, 1.6% for class ii, 2.7% for class iii and 4.7% for class iv, with marginal predicted probabilities of 0.9% (0.7, 1.2), 1.5% (1.2, 1.9), 2.6% (2.2, 3.0) and 4.5% (3.7, 5.4) for classes i, ii, iii, and iv, respectively. the risk classification rule was strongly associated with picc-dvt, with odds ratios of 1.68 (95% ci, 1.19, 2.37), 2.90 (95% ci, 2.09, 4.01) and 5.20 (95% ci, 3.65, 7.42) for risk classes ii, iii and iv vs. risk class i, respectively. conclusion the michigan picc-dvt risk score offers a novel way to estimate risk of dvt associated with piccs and can help inform appropriateness of picc insertion. ",YES
28796444,PICC insertion procedure,Yes,"the michigan risk score to predict peripherally inserted central catheter-associated thrombosis. . essentials how best to quantify thrombosis risk with peripherally inserted central catheters (picc) is unknown. data from a registry were used to develop the michigan risk score (mrs) for picc thrombosis. five risk factors were associated with picc thrombosis and used to develop a risk score. mrs was predictive of the risk of picc thrombosis and can be useful in clinical practice. summary: background peripherally inserted central catheters (piccs) are associated with upper extremity deep vein thrombosis (dvt). we developed a score to predict risk of picc-related thrombosis. methods using data from the michigan hospital medicine safety consortium, image-confirmed upper-extremity dvt cases were identified. a logistic, mixed-effects model with hospital-specific random intercepts was used to identify factors associated with picc-dvt. points were assigned to each predictor, stratifying patients into four classes of risk. internal validation was performed by bootstrapping with assessment of calibration and discrimination of the model. results of 23 010 patients who received piccs, 475 (2.1%) developed symptomatic picc-dvt. risk factors associated with picc-dvt included: history of dvt; multi-lumen picc; active cancer; presence of another cvc when the picc was placed; and white blood cell count greater than 12 000. four risk classes were created based on thrombosis risk. thrombosis rates were 0.9% for class i, 1.6% for class ii, 2.7% for class iii and 4.7% for class iv, with marginal predicted probabilities of 0.9% (0.7, 1.2), 1.5% (1.2, 1.9), 2.6% (2.2, 3.0) and 4.5% (3.7, 5.4) for classes i, ii, iii, and iv, respectively. the risk classification rule was strongly associated with picc-dvt, with odds ratios of 1.68 (95% ci, 1.19, 2.37), 2.90 (95% ci, 2.09, 4.01) and 5.20 (95% ci, 3.65, 7.42) for risk classes ii, iii and iv vs. risk class i, respectively. conclusion the michigan picc-dvt risk score offers a novel way to estimate risk of dvt associated with piccs and can help inform appropriateness of picc insertion. ",YES
28796444,Biology ( blood platelet level_white blood cell level_triglycerides_fibrinogen),No,"the michigan risk score to predict peripherally inserted central catheter-associated thrombosis. . essentials how best to quantify thrombosis risk with peripherally inserted central catheters (picc) is unknown. data from a registry were used to develop the michigan risk score (mrs) for picc thrombosis. five risk factors were associated with picc thrombosis and used to develop a risk score. mrs was predictive of the risk of picc thrombosis and can be useful in clinical practice. summary: background peripherally inserted central catheters (piccs) are associated with upper extremity deep vein thrombosis (dvt). we developed a score to predict risk of picc-related thrombosis. methods using data from the michigan hospital medicine safety consortium, image-confirmed upper-extremity dvt cases were identified. a logistic, mixed-effects model with hospital-specific random intercepts was used to identify factors associated with picc-dvt. points were assigned to each predictor, stratifying patients into four classes of risk. internal validation was performed by bootstrapping with assessment of calibration and discrimination of the model. results of 23 010 patients who received piccs, 475 (2.1%) developed symptomatic picc-dvt. risk factors associated with picc-dvt included: history of dvt; multi-lumen picc; active cancer; presence of another cvc when the picc was placed; and white blood cell count greater than 12 000. four risk classes were created based on thrombosis risk. thrombosis rates were 0.9% for class i, 1.6% for class ii, 2.7% for class iii and 4.7% for class iv, with marginal predicted probabilities of 0.9% (0.7, 1.2), 1.5% (1.2, 1.9), 2.6% (2.2, 3.0) and 4.5% (3.7, 5.4) for classes i, ii, iii, and iv, respectively. the risk classification rule was strongly associated with picc-dvt, with odds ratios of 1.68 (95% ci, 1.19, 2.37), 2.90 (95% ci, 2.09, 4.01) and 5.20 (95% ci, 3.65, 7.42) for risk classes ii, iii and iv vs. risk class i, respectively. conclusion the michigan picc-dvt risk score offers a novel way to estimate risk of dvt associated with piccs and can help inform appropriateness of picc insertion. ",NO
31324590,PICC infection,Yes,"picc management led by technicians: establishment of a cooperation program with radiologists and evaluation of complications. . purpose: the purpose of this study was to evaluate a cooperation program in order to compare incidence of complications after peripherally inserted central catheter (picc) placement between radiologists and technicians. materials and methods: picc placement technique was standardized with ultrasound-guided puncture and fluoroscopic guidance. numbers of picc delegated to technicians, and picc placement difficulties, were prospectively recorded for the whole study population whereas complications such as picc infection, deep venous thrombosis and catheter occlusion were prospectively recorded until picc removal for a subgroup of patients included during one month. results: a total of 722 patients had picc placement. there were 382 men and 340 women with a mean age of 66.8±15.8 (sd) years (range: 18-94years); of these, 442/722 patients (61.22%) were included in the cooperation program with 433/722 patients (59.97%) who effectively had picc placement by technicians and 289/722 (40.03%) by radiologists. technicians needed radiologists' help for 23/442 patients (5.20%) including 6 failed picc placement subsequently performed by radiologists. twenty complications (20/77; 26%) were recorded in the subgroup of 77 patients studied for complications. no differences in complications rate were found between the 33 patients who underwent picc placement by radiologists (6/33; 18%) and the 44 patients who underwent picc placement by technicians (14/44; 32%) (p=0.296). complications included 8 picc-related infections (8/77; 10.4%), 3 deep venous thromboses (3/77; 3.9%) and 9 catheter occlusions (9/77; 11.7%). conclusion: picc placement led by technicians is feasible and safe without statistical difference in terms of complications compared to picc placement made by radiologists. ",Yes
36601900,Slower blood flow velocity,Yes,"effect of exercise therapy on picc-associated venous thromboembolism: a meta-analysis. . background: peripherally inserted central catheter (picc) is widely used in clinical practice because of its long retention time and easy maintenance. however, picc-associated venous thromboembolism (vte) is the most serious complication of picc. guidelines recommend exercise therapy to prevent picc-associated vte. however, inconsistent findings have been reported across the literature. this study conducted a meta-analysis to further evaluate the effect of exercise therapy on picc-associated vte. methods: we searched cnki, wanfang database, chinese science and technology journal full text database, pubmed, embase, web of science and cochrane library databases and included all randomized controlled trials (rcts) of exercise therapy for the prevention of picc-associated vte. two investigators independently screened the literature, extracted information, and evaluated the risk of bias for eligible rcts. meta-analysis was conducted by revman5.4 software. results: eleven rcts were included, including 1919 patients. meta-analysis showed that the incidence of picc-associated vte was lower in the exercise therapy group than in the usual care group (rr = 0.30, 95% ci: 0.22-0.41, p < 0.00001).exercise therapy increased the axillary vein maximum velocity (smd = 0.93, 95% ci: 0.58-1.28, p < 0.00001) and the axillary vein time-mean flow velocity (smd = 0.86, 95% ci: 0.53-1.20, p < 0.00001). subgroup analysis showed statistically significant differences for the incidence of picc-associated vte for intervention times<4 weeks (rr = 0.26, 95% ci: 0.17-0.40, p < 0.00001) and intervention times≥4 weeks (rr = 0.35, 95% ci: 0.22-0.54, p < 0.00001). for axillary vein maximum velocity, the difference was statistically significant for both intervention time <4 weeks (smd = 0.73, 95% ci: 0.55-0.91, p < 0.00001) and intervention time ≥4 weeks (smd = 1.18, 95% ci: 0.18-2.19, p = 0.02). for axillary vein time-mean flow velocity, the intervention time <4 weeks (smd = 0.75, 95% ci: 0.46-1.04, p < 0.00001), and the difference was statistically significant; while ≥4 weeks, the difference was not statistically significant (smd = 1.14, 95% ci: -0.07 to 2.35, p = 0.06). conclusions: exercise therapy improved venous blood flow velocity and effectively reduced the incidence of picc-associated vte. however, rcts with large samples and high quality are needed to further evaluate the effectiveness of exercise therapy in picc patients. ",Yes
35802673,PICC infection,No,"risk factors for early picc removal: a retrospective study of adult inpatients at an academic medical center. . background: use of piccs has been rising since 2001. they are used when long-term intravenous access is needed and for blood draws in patients with difficult venous access. objective: to determine which risk factors contribute to inappropriate picc line insertion defined as removal of a picc within five days of insertion for reasons other than a picc complication. design: retrospective, observational study. setting: tertiary-care, level 1 trauma center. patients: adult patients with a picc removed 1/1/2017 to 5/4/2020. measurements: frequency of picc removal within five days of insertion and associated risk factors for early removal. results: between 1/1/2017 and 5/4/2020, 995 of 5348 piccs inserted by the iv nursing team were removed within five days (19%). in 2017, 5 of 429 piccs developed a central line-associated infection (1.2%) and 29 of 429 piccs developed symptomatic venous thromboembolism (6.7%). patients with piccs whose primary service was in an icu were independently at higher risk of early removal (or 1.44, 95% ci 1.14, 1.83); weekday insertion was independently associated with a lower likelihood of early removal compared to weekend insertion (or 0.60; 95% ci 0.49, 0.75). limitation: picc removal after discharge was not assessed and paper records were likely incomplete and biased. conclusion: nearly one in five piccs were removed within five days. patients whose primary team was in an icu and piccs ordered on weekends were at independently higher risk of early removal. ",No
33889013,Chemotherapy,Yes,"risk factors of picc-related venous thrombosis in breast cancer patients undergoing chemotherapy. . background: to analyze the risk factors of a peripherally inserted central catheter (picc)-related venous thrombosis in patients with breast cancer undergoing chemotherapy and explore its preventive measures. methods: data of 780 patients with breast cancer who underwent picc chemotherapy in our hospital from january 2014 to june 2015 were retrospectively analyzed. the incidence of catheter-related thrombosis was observed, and related factors of venous thrombosis were analyzed. results: among the 780 patients with breast cancer, 36 developed picc-related venous thrombosis. the incidence of which was 4.62% (36/780). the picc retention time ranged between 60 and 136 days, and the median time was 92 days. thrombosis was found to occur within seven days after catheterization in three patients (8.33%), between 7 and 30 days in 18 patients (50%), between 31 and 92 days in 12 patients (33.3%), and ≥92 days in three patients (8.33%). basilic vein puncture-induced thrombosis occurred in 25 patients (3.68%), and median cubital vein and cephalic vein puncture-induced thrombosis occurred in 11 patients (10.78%). the difference was statistically significant (p = 0.001). thrombosis was not associated with age, punctured limb, platelet count, or chemotherapy drugs (p > 0.05). conclusion: blood vessel puncture was the main factor that affected picc-related thrombosis in breast cancer chemotherapy. the basilic vein should be the primary choice for blood vessel puncture. prolonged catheter retention does not increase the risk of thrombosis. ",Yes
33889013,Cancer,Yes,"risk factors of picc-related venous thrombosis in breast cancer patients undergoing chemotherapy. . background: to analyze the risk factors of a peripherally inserted central catheter (picc)-related venous thrombosis in patients with breast cancer undergoing chemotherapy and explore its preventive measures. methods: data of 780 patients with breast cancer who underwent picc chemotherapy in our hospital from january 2014 to june 2015 were retrospectively analyzed. the incidence of catheter-related thrombosis was observed, and related factors of venous thrombosis were analyzed. results: among the 780 patients with breast cancer, 36 developed picc-related venous thrombosis. the incidence of which was 4.62% (36/780). the picc retention time ranged between 60 and 136 days, and the median time was 92 days. thrombosis was found to occur within seven days after catheterization in three patients (8.33%), between 7 and 30 days in 18 patients (50%), between 31 and 92 days in 12 patients (33.3%), and ≥92 days in three patients (8.33%). basilic vein puncture-induced thrombosis occurred in 25 patients (3.68%), and median cubital vein and cephalic vein puncture-induced thrombosis occurred in 11 patients (10.78%). the difference was statistically significant (p = 0.001). thrombosis was not associated with age, punctured limb, platelet count, or chemotherapy drugs (p > 0.05). conclusion: blood vessel puncture was the main factor that affected picc-related thrombosis in breast cancer chemotherapy. the basilic vein should be the primary choice for blood vessel puncture. prolonged catheter retention does not increase the risk of thrombosis. ",YES
