PMID,FACTOR,TEXT
33889013,Biology ( blood platelet level_white blood cell level_triglycerides_fibrinogen),"thrombosis was not associated with age, punctured limb, platelet count, or chemotherapy drugs (p > 0.05)."
33719694,PICC infection,"no serious complications such as infection, thrombosis and extravasation occurred in this group of patients after treatment."
36897677,PICC infection,"synthesized outcomes indicated that compared with willful grip exercises, quantified grip exercises reduced the incidence of picc-related thrombosis (odds ratio = 0.19, 95% confidence interval [ci]: 0.12-0.31) and infection (odds ratio = 0.30, 95% ci: 0.15-0.60) in picc patients, increased the maximum venous velocity (mean difference = 3.02, 95% ci: 1.87-4.17) and mean blood flow (mean difference = 3.10, 95%ci: 1.57-4.62) in picc patients (all p < .05). conclusion: quantified grip exercises can effectively reduce the occurrence of picc-related thrombosis and infection, improve the venous hemodynamics."
23715775,Diabete,"a diagnosis of diabetes was the only factor that significantly predicted complications (hazard ratio, 2.71; 95% confidence interval, 1.13-6.13)."
23715775,PICC insertion procedure,"however, little is known about the consequences of picc insertion in these patients. materials and methods: pregnant women with picc insertion between january 2000 and june 2006 were studied retrospectively. conclusions: picc insertion in pregnant women is associated with a high complication rate, which appears to be independent of the type of infusate and occurs in the majority of women."
37573601,ICU,"predictive model for picc occlusion risk for patients in intensive care units: a retrospective clinical study. context: peripherally inserted central catheters (piccs) have a high incidence of catheter occlusion, but research exploring the risk factors for such an occlusion for patients in intensive care units (icus) is lacking."
37573601,Diabete,"results: the univariate analysis showed that 13 factors were associated with picc occlusion, including: (1) an age ≥65 years (p < .001), a bmi of ≥24 kg/m2 (p < .001), (2) a bmi of ≥24kg/m2 (p = .002), (3) diabetes (p < .001), (4) stroke (p < .001), (5) hypertension (p < .001), (6) malignant tumors (p < .001), (7) a history of deep vein thrombosis (p < .001), (8) limb activity (p < .001), (10) flushing and sealing pipe frequency of q8h (p = .035), (11) retention time (p < .001), (12) an increased platelet count (p = .036), (13) blood transfusions (p < .001), and (14) intravenous nutrition (p < .001). the independent risk factors for picc occlusion included: (1) age ≥65 years-or=1.224, p = .028; (2) bmi ≥24 kg/m2-or=1.679, p = .004; (3) diabetes-or=1.343, p = .017; (4) malignant tumors-or=2.736, p < .001; (5) blood transfusions-or=1.947, p < .001), and (6) intravenous nutrition-or=2.021, p < .001. conclusions: age ≥65 years, bmi ≥24 kg/m2, diabetes, malignant tumors, blood transfusions, and intravenous nutrition were independent risk factors for picc occlusion, while the frequency of flushing and sealing pipe (q8h) was a protective factor."
37573601,BMI,"results: the univariate analysis showed that 13 factors were associated with picc occlusion, including: (1) an age ≥65 years (p < .001), a bmi of ≥24 kg/m2 (p < .001), (2) a bmi of ≥24kg/m2 (p = .002), (3) diabetes (p < .001), (4) stroke (p < .001), (5) hypertension (p < .001), (6) malignant tumors (p < .001), (7) a history of deep vein thrombosis (p < .001), (8) limb activity (p < .001), (10) flushing and sealing pipe frequency of q8h (p = .035), (11) retention time (p < .001), (12) an increased platelet count (p = .036), (13) blood transfusions (p < .001), and (14) intravenous nutrition (p < .001). the independent risk factors for picc occlusion included: (1) age ≥65 years-or=1.224, p = .028; (2) bmi ≥24 kg/m2-or=1.679, p = .004; (3) diabetes-or=1.343, p = .017; (4) malignant tumors-or=2.736, p < .001; (5) blood transfusions-or=1.947, p < .001), and (6) intravenous nutrition-or=2.021, p < .001. conclusions: age ≥65 years, bmi ≥24 kg/m2, diabetes, malignant tumors, blood transfusions, and intravenous nutrition were independent risk factors for picc occlusion, while the frequency of flushing and sealing pipe (q8h) was a protective factor."
37573601,Age,"results: the univariate analysis showed that 13 factors were associated with picc occlusion, including: (1) an age ≥65 years (p < .001), a bmi of ≥24 kg/m2 (p < .001), (2) a bmi of ≥24kg/m2 (p = .002), (3) diabetes (p < .001), (4) stroke (p < .001), (5) hypertension (p < .001), (6) malignant tumors (p < .001), (7) a history of deep vein thrombosis (p < .001), (8) limb activity (p < .001), (10) flushing and sealing pipe frequency of q8h (p = .035), (11) retention time (p < .001), (12) an increased platelet count (p = .036), (13) blood transfusions (p < .001), and (14) intravenous nutrition (p < .001). the independent risk factors for picc occlusion included: (1) age ≥65 years-or=1.224, p = .028; (2) bmi ≥24 kg/m2-or=1.679, p = .004; (3) diabetes-or=1.343, p = .017; (4) malignant tumors-or=2.736, p < .001; (5) blood transfusions-or=1.947, p < .001), and (6) intravenous nutrition-or=2.021, p < .001. conclusions: age ≥65 years, bmi ≥24 kg/m2, diabetes, malignant tumors, blood transfusions, and intravenous nutrition were independent risk factors for picc occlusion, while the frequency of flushing and sealing pipe (q8h) was a protective factor."
37573601,Biology ( blood platelet level_white blood cell level_triglycerides_fibrinogen),"results: the univariate analysis showed that 13 factors were associated with picc occlusion, including: (1) an age ≥65 years (p < .001), a bmi of ≥24 kg/m2 (p < .001), (2) a bmi of ≥24kg/m2 (p = .002), (3) diabetes (p < .001), (4) stroke (p < .001), (5) hypertension (p < .001), (6) malignant tumors (p < .001), (7) a history of deep vein thrombosis (p < .001), (8) limb activity (p < .001), (10) flushing and sealing pipe frequency of q8h (p = .035), (11) retention time (p < .001), (12) an increased platelet count (p = .036), (13) blood transfusions (p < .001), and (14) intravenous nutrition (p < .001)."
37573601,Hypertension,"results: the univariate analysis showed that 13 factors were associated with picc occlusion, including: (1) an age ≥65 years (p < .001), a bmi of ≥24 kg/m2 (p < .001), (2) a bmi of ≥24kg/m2 (p = .002), (3) diabetes (p < .001), (4) stroke (p < .001), (5) hypertension (p < .001), (6) malignant tumors (p < .001), (7) a history of deep vein thrombosis (p < .001), (8) limb activity (p < .001), (10) flushing and sealing pipe frequency of q8h (p = .035), (11) retention time (p < .001), (12) an increased platelet count (p = .036), (13) blood transfusions (p < .001), and (14) intravenous nutrition (p < .001)."
34540095,Chemotherapy,"predisposing factors and effect of bundle nursing in picc-related upper extremity deep venous thrombosis in patients with non-hodgkin's lymphoma undergoing chemotherapy. objective: to explore the effects of bundle nursing on picc-related upper extremity deep venous thrombosis (picc-uedvt) in patients with non-hodgkin's lymphoma (nhl) who are undergoing chemotherapy, and contributing factors toward picc-uedvt. methods: 370 nhl patients undergoing chemotherapy in the department of hematology were selected prospectively and randomized into a control group (receiving routine nursing) and an observation group (receiving bundle nursing) using random number method."
34540095,Cancer,"predisposing factors and effect of bundle nursing in picc-related upper extremity deep venous thrombosis in patients with non-hodgkin's lymphoma undergoing chemotherapy. objective: to explore the effects of bundle nursing on picc-related upper extremity deep venous thrombosis (picc-uedvt) in patients with non-hodgkin's lymphoma (nhl) who are undergoing chemotherapy, and contributing factors toward picc-uedvt."
34540095,Performans score_performance status_karnofsky_ECOG_Less activity_bedridden > 72h,"tumor stage, ecog score >2, hemoglobin <100 g/l, and d-dimer >0.5 mg/l were factors that contributed to the occurrence of picc-uedvt in nhl patients (p<0.05). conclusion: tumor stage, ecog score >2, reduced hemoglobin, and increased d-dimer levels are predisposing factors for picc-uedvt in nhl patients."
34738565,Cancer,"peripherally inserted central venous catheters (picc) versus totally implantable venous access device (port) for chemotherapy administration: a meta-analysis on gynecological cancer patients. background and aim: ninety-four thousand gynecological cancer diagnoses are performed each year in the united states. this meta-analysis aims to compare port and peripherally inserted central catheter (picc) outcomes during adjuvant treatment for gynecological cancer. unless specific contraindications, ports can be preferred for systemic treatment in gynecological cancer patients."
36747971,Smoking,"additionally, the number of smoking histories in the thrombosis group (18, 38.30%) was significantly higher than that in the nonthrombosis group (5, 9.80%). b) logistic regression analysis indicated that rdw and smoking history were independent risk factors for picc-related thrombosis (or: 3.028, p<0.001; or: 5.640, p=0.023). c) the area under the receiver operating characteristic (roc) curve of the combination of rdw and smoking history was 86.8%, and the sensitivity and specificity for predicting thrombosis after picc were 85.1% and 80%, respectively. d) cox regression analysis revealed that rdw and smoking history were independent risk factors for picc-related thrombosis (p<0.001). conclusion: the combined use of rdw and smoking history has early evaluation and predictive value in the diagnosis of picc-related thrombosis."
34723657,PICC infection,bridging the gap: introduction of an antimicrobial peripherally inserted central catheter (picc) in response to high picc central line-associated bloodstream infection incidence. objective: to reduce the incidence of central line-associated bloodstream infection (clabsi) in peripherally inserted central catheters (picc) through the introduction of an antimicrobial (am) catheter as recommended in evidence-based guidelines and standards. design: quality improvement project comparing incidence of infections pre-implementation and postimplementation of the new catheter.
31387422,PICC infection,"the rate of deep vein thrombosis (0.31-1.48/1000 cds) and occlusion differed across the picc types, while the rate of central line-associated bloodstream infection (0.53-0.74/1000 cds) did not."
32195936,Cancer,"the clinical features and related factors of picc-related upper extremity asymptomatic venous thrombosis in cancer patients: a prospective study. peripherally inserted central venous catheter (picc) is the main venous access for cancer patients when they receive chemotherapy and nutritional support, but picc-related venous thrombosis has become one of the most common and serious complications. it is very important to further explore the relationship among these features, so that prevent and treat the picc-related thrombosis.to investigate the clinical features and the related factors of picc-related upper extremity asymptomatic venous thrombosis in cancer patients, and to provide theoretical basis for the prevention of venous thrombosis.a total of 127 tumor patients with picc catheterization were selected."
32195936,Slower blood flow velocity,"the clinical characteristics and influencing factors of asymptomatic thrombosis such as vessel diameter, blood flow velocity, thrombosis time, location, and the thrombosis stages were recorded.the incidence of picc-related upper limbs asymptomatic thrombosis was 48.82% (62/127), and the median time was 3 days. the group trajectory analysis indicated the 3 changes of blood flow velocity during the follow-up period: downward trend, upward trend, and steady fluctuations. cox proportional hazards model suggested that the patient's eastern cooperative oncology group score (hazard ratio [hr] 2.791, 95% confidence interval [ci] 0.08-0.76) and blood flow velocity (hr 0.250, 95% ci 2.01-3.87) was the risk of picc-related asymptomatic thrombosis.picc catheterization can affect blood flow and asymptomatic thrombosis can occur at an early stage."
27161689,Cancer,"whereas those with picc associated infection (n=18), 5 had non-hodgkin's lymphoma and 5 had acute lymphoid leukaemia."
27161689,Age,the mean age of patients who has picc associated thrombosis was 51.6 years (±8.1 years).
27161689,PICC infection,"although generally regarded safe, infections and thrombotic events have occurred with picc use, necessitating study to guide future clinical prophylaxis and management. the main outcome measures were picc associated thrombosis and/or infection results: of 131 picc placements in a total of 90 patients. thrombosis was found in 14.5% (n=19), 13.7% developed infection (n=18) and remaining were without complications. whereas those with picc associated infection (n=18), 5 had non-hodgkin's lymphoma and 5 had acute lymphoid leukaemia. decreased in picc lumen size was shown to influence the risk of complications; of 5 french catheters, 20% had thrombosis and 15% had infection, vs."
31724074,Cancer,"purpose: the use of central venous catheters with peripheral insertion (picc) has increased rapidly in recent years, particularly in cancer patients."
37445515,Biology ( blood platelet level_white blood cell level_triglycerides_fibrinogen),"study precision was evaluated by using a funnel plot for platelets level. picc-related dvt was associated with higher d-dimers (0.37 μg/ml, 95% ci 0.02, 0.72; p = 0.04, i(2) = 92%; p for heterogeneity < 0.00001) and with higher platelets (8.76 × 10(9)/l, 95% ci 1.62, 15.91; p = 0.02, i(2) = 41%; p for heterogeneity = 0.06). conclusions: high levels of d-dimer and platelet were associated with dvt in patients with picc. however, biomarkers such as aptt, fibrinogen, fdp, glucose, hemoglobin, glycated hemoglobin, inr, prothrombin time, prothrombin fragment 1.2, the thrombin-antithrombin complex, and wbc were not related to the development of dvt associated with picc."
35071472,Anticoagulants therapy,"results: after picc removal, no patients in the anticoagulation therapy group developed progressive thrombosis, while 10 patients in the catheter removal alone group developed progressive thrombosis or pulmonary embolism (pe), including one case of pe, four cases of secondary upper extremity deep vein thrombosis (uedvt), and five patients showed obvious aggravation of thrombosis after catheter removal, and were administered repeated anticoagulant therapy."
33617142,Performans score_performance status_karnofsky_ECOG_Less activity_bedridden > 72h,"a higher eastern cooperative oncology group score (ecog), slower blood flow velocity and left basilic vein were independent risk factors of asymptomatic thrombosis."
33617142,Slower blood flow velocity,"a higher eastern cooperative oncology group score (ecog), slower blood flow velocity and left basilic vein were independent risk factors of asymptomatic thrombosis."
32921123,Chemotherapy,"effects of tai chi on catheter management and quality of life in tumor patients with picc at the intermission of chemotherapy: a non-inferiority randomized controlled trial. background: peripherally inserted central catheter (picc) is widely used in chemotherapy due to its minimal complications and simple wound care. this study explored the effects of tai chi on catheterrelated complications, catheter management ability, and quality of life in tumor patients with picc at the intermission of chemotherapy. a total of 98 patients with malignant tumors who underwent long-term chemotherapy with picc were randomly divided into an observation group (49 cases) and a control group (49 cases)."
32921123,Biology ( blood platelet level_white blood cell level_triglycerides_fibrinogen),"results: after the intervention, the activated partial thromboplastin time (aptt) and prothrombin time (pt) in the observation group were longer than those in the control group, while fibrinogen (fib) was lower than that in the control group (all p<0.05)."
25726426,Surgery_type of surgery,"patients with picc-dvt were more likely to have a history of venous thromboembolism (or 1.70, 95% ci=1.02-2.82) or have undergone surgery while the picc was in situ (or 2.17, 95%ci=1.17-4.01 for surgeries longer than two hours)."
28386787,PICC infection,"reasons for removal were that picc was not considered to be useful any longer (16), suspicion of infection (inflammation without documentation) (5) or infection (2), patient's wish (4), death (4), accidental withdrawal (2), puncture site bleeding (1), and catheter change due to extracorporeal photopheresis (1). three venous thromboses were reported (8%), requesting one picc removal because of associated infection."
37553006,Cancer,"upper limb lymphedema impacts the risk of peripherally inserted central catheter-related thrombosis in patients with breast cancer. there is little information on the risk for catheter-related thrombosis in patients with upper limb lymphedema following breast cancer treatment. we investigated the association between upper limb lymphedema and the risk of peripherally inserted central catheterrelated thrombosis (picc-rt) occurring in the contralateral limb of patients with breast cancer. a retrospective review analyzed all patients with breast cancer who underwent picc insertion at a cancer hospital in hunan province from 2015 to 2019. in breast cancer patients, upper limb lymphedema may be an important predictor for picc-rt in the contralateral limb and information should be provided to patients."
34613657,Cancer,"development of a risk score to predict peripherally inserted central catheter thrombosis in active cancer. aims: to explore the prevalence of symptomatic picc thrombosis and pulmonary embolism (pe)/deep vein thrombosis (dvt) in cancer and non-cancer cohorts. in active cancer, we assessed the khorana risk score (krs) and michigan risk score (mrs) for predicting picc thrombosis and modifications to improve discriminative accuracy. methods: we reviewed consecutive cancer patients receiving chemotherapy through a picc inserted april 2017 to july 2018. for each case, we identified a contemporaneous non-cancer control. results: among 147 cancer patients, median age 64 years, picc duration 70 days (range, 2-452), 7% developed picc thrombosis (95% confidence interval (ci) 3.6-12.2) and 4% (95% ci 2-9) pe/dvt. in our cancer cohort, no krs < 1 patients developed picc thrombosis (95% ci 0-11) compared with 9% (95% ci 5-16) in krs ≥ 1 (p = 0.12). conclusion: cancer patients had longer picc durations and higher picc thrombosis rates than those without (7% vs 0.7%)."
35216538,PICC infection,"furthermore, the authors found that only 1.85% of all catheters developed local infection within d8, and only 0.83% evolved in vein thrombosis. total bloodstream infection was at 0.1%."
33148905,Cancer,"safe central venous catheters for esophageal cancer treatment.  introduction : central venous catheter (cvc) use is essential for treating esophageal cancer. methods : we retrospectively investigated complications at the catheter insertion and post-insertion for 199 patients' esophageal cancer treatment (cicc : 45, picc : 154) from 2013 to 2018. conclusion : piccs are safer and more effective than ciccs for the treatment of esophageal cancer, and reduce the incidence of crbsi."
33148905,PICC infection,the incidence of catheter-related blood stream infection (crbsi) was significantly lower in picc than cicc patients (0.3 vs.
25910751,Cancer,"purpose: the use of peripherally inserted central catheters (picc) as an alternative to other central venous access devices (cvad) is becoming very frequent in cancer patients. cox regression analyses of variables associated to crbsis and to crtcs showed that only the type of disease (acute leukemia compared to other diseases) was significantly associated to a higher incidence of crbsis, while no feature was predictive for a higher risk of crtcs."
25910751,PICC infection,"catheter-associated bloodstream infections and thrombotic risk in hematologic patients with peripherally inserted central catheters (picc). to evaluate the impact of complications associated to these devices in patients with hematologic malignancies, we revised the catheter-related bloodstream infections (crbsi) and the catheter-related thrombotic complications (crtc) observed at our institute between january 2009 and december 2012."
25593110,PICC insertion procedure,"the size of the vein used for picc insertion and thus the catheter to vein ratio is thought to be a controllable factor in the reduction of vte rates in patients who have a picc. however, an optimal catheter to vein ratio for picc insertion has not previously been investigated to inform clinical practice. method: adult patients waiting for picc insertion at a large metropolitan teaching hospital were recruited between may and december 2013. vein diameter at the picc insertion site was measured using ultrasound with in-built callipers."
32441173,PICC infection,"the primary outcomes were maternal infection (cellulitis, sepsis), venous thromboembolism (vte), or combined major complication rate. the risk of infection associated with picc use was the most variable, with rates ranging from 4% to 37%. this suggests that infection risk may be modifiable and further studies are needed to assess interventions that may lower this risk."
33782091,PICC infection,"logistic regression and poisson models were fit to assess the association between appropriateness and complications (composite of catheter occlusion, venous thromboembolism (vte) and central line-associated bloodstream infection (clabsi))."
34511570,Chemotherapy,"risk factors for complications associated with peripherally inserted central catheters during induction chemotherapy for acute myeloid leukemia. however, the risks of picc-related complications during chemotherapy for acute myeloid leukemia (aml) are not fully understood. conclusion low picc-related complication rates, possibly associated with high rates of catheter removal, were observed during intensive chemotherapy for aml."
34511570,Cancer,"risk factors for complications associated with peripherally inserted central catheters during induction chemotherapy for acute myeloid leukemia. however, the risks of picc-related complications during chemotherapy for acute myeloid leukemia (aml) are not fully understood."
34511570,BMI,obesity put patients at an increased risk for crt.
34511570,PICC infection,"the incidence rate of catheter-related bloodstream infection (crbsi) was 2.4% at 30 days, and women were more likely to suffer from crbsi than men."
33249623,Chemotherapy,"based on the multivariate analysis, history of smoking [or 2.49 (1.13-5.46), p < .05], use of carboplatin [or 2.23 (1.19-4.17), p < .05] or docetaxel [or 7.23 (1.65-31.56), p < .05], picc size [or 3.52 (1.78-6.99), p < .001], and level of d-dimer [or 5.32 (2.39-11.83), p < .001] were significant risk factors of picc-rt."
33249623,Cancer,"incidence and risk factors of symptomatic thrombosis related to peripherally inserted central catheter in patients with lung cancer. aims: to determine the incidence and risk factors associated with peripherally inserted central catheter-related thrombosis (picc-rt) in patients with lung cancer. methods: patients with lung cancer receiving picc insertion during 1 march 2014-31 may 2019 at a tertiary hospital in shanghai, china were enrolled (n = 748). our findings provided evidence for the management of picc-rt in patients with lung cancer."
33249623,Smoking,"based on the multivariate analysis, history of smoking [or 2.49 (1.13-5.46), p < .05], use of carboplatin [or 2.23 (1.19-4.17), p < .05] or docetaxel [or 7.23 (1.65-31.56), p < .05], picc size [or 3.52 (1.78-6.99), p < .001], and level of d-dimer [or 5.32 (2.39-11.83), p < .001] were significant risk factors of picc-rt."
31900609,PICC infection,"catheter-related bloodstream infections (crbsi) occurred in 32% of patients (2.5/1000 picc days), associated with thrombosis in 8 cases."
34794291,Cancer,"the inclusion criteria were patients with advanced malignant tumor after bilateral breast cancer lymphadenectomy or superior vena cava obstruction syndrome; bedridden patients; and patients without mental disorders; who could understand the content of this study and agreed to participate in this study. conclusion: the indications for picc through the lower limbs in adults include patients with advanced malignant tumor after bilateral breast cancer lymphadenectomy or superior vena cava obstruction syndrome, and mainly bedridden patients."
34794291,Performans score_performance status_karnofsky_ECOG_Less activity_bedridden > 72h,"the inclusion criteria were patients with advanced malignant tumor after bilateral breast cancer lymphadenectomy or superior vena cava obstruction syndrome; bedridden patients; and patients without mental disorders; who could understand the content of this study and agreed to participate in this study. conclusion: the indications for picc through the lower limbs in adults include patients with advanced malignant tumor after bilateral breast cancer lymphadenectomy or superior vena cava obstruction syndrome, and mainly bedridden patients. key words: lower limb picc, deep venous catheterisation, advanced malignant tumor, bedridden."
34794291,PICC infection,no catheter-related infection was found in the two groups of patients.
30683751,PICC infection,"during the 70-day follow-up period, 61.4% of patients reported signs of at least one complication, including potentially serious complications, such as bloodstream infection (17.6%) and deep vein thrombosis (30.6%)."
37333869,PICC insertion procedure,methods: a retrospective analysis of picc insertions and follow-up during a 9 years period to look at patient demographics and infections related to picc was carried out.
37333869,PICC infection,"peripherally inserted central catheters-associated blood stream infections-occurrence, risk factors, and pathogens, a single center study. aim: this study was carried out to understand picc-related complications, specifically infections and causal pathogens, in a tertiary care hospital in kerala, south india. methods: a retrospective analysis of picc insertions and follow-up during a 9 years period to look at patient demographics and infections related to picc was carried out. commonest complication was thrombosis followed by infection, either picc-associated bloodstream infection (pabsi) or local infection (li). conclusion: thrombosis and infection were the commonest picc-related complications."
26207019,Chemotherapy,"we aimed to scrutinize the incidence and risk factors for picc-related upper extremity venous thrombosis (uevt) in patients with lung cancer receiving chemotherapy. patients and methods: we performed a retrospective cohort study of patients with lung cancer with picc insertion undergoing chemotherapy. results: a total of 328 patients with lung cancer having picc undergoing chemotherapy were included, for a total of 34 895 catheter days. patients treated with etoposide had a higher risk of picc-related uevt (or: 3.6; 95% ci: 1.1-12.1; p = .042). conclusion: patients with lung cancer harboring an advanced disease or treating with etoposide were at higher risk of picc-uevt."
26207019,Cancer,"peripherally inserted central catheter-related vein thrombosis in patients with lung cancer. background: peripherally inserted central venous catheters (piccs) are widely used in patients with cancer. we aimed to scrutinize the incidence and risk factors for picc-related upper extremity venous thrombosis (uevt) in patients with lung cancer receiving chemotherapy. patients and methods: we performed a retrospective cohort study of patients with lung cancer with picc insertion undergoing chemotherapy. patient-, catheter-, and insertion-related factors were analyzed in univariable and multivariable logistic regression to identify significant independent risk factors for picc-uevt in patients with lung cancer. results: a total of 328 patients with lung cancer having picc undergoing chemotherapy were included, for a total of 34 895 catheter days. conclusion: patients with lung cancer harboring an advanced disease or treating with etoposide were at higher risk of picc-uevt."
33499716,PICC infection,"catheter-associated infections, dislodgement or migration, malfunction, and picc-associated thrombosis were recorded. line associated infection was the most common complication (17.2%)."
35875074,Non-O blood type_ group B,"meta-analysis of the studies showed that the risk of picc-associated vte was significantly higher in blood types a [odds ratio (or)=1.54, 95% ci=1.17-2.03), p=0.002], b (or=2.35, 95% ci=1.71-3.23, p<0.0001), and ab (or=2.55, 95% ci=1.68-3.88, p<0.0001) and lower in blood types o (or=0.58, 95% ci=0.45-0.74, p<0.0001). subgroup analysis based on ethnicity demonstrated that blood type o may be a genetic protective factor for picc-associated vte in asians. among caucasians, individuals with blood types b and ab have a higher risk of picc-associated vte. blood types a, b, and ab are risk factors for picc-associated vte in asians. conclusions: blood type o is associated with a decreased risk of picc-associated vte, especially in asian populations. moreover, blood types a, b, and ab are risk factors for picc-associated vte."
24268631,Cancer,"there was a statistically significantly higher thrombosis rate in patients with cancer (71.9% vs 66.7%, p = .002)."
24268631,PICC insertion procedure,all patients 18-90 years old requiring picc insertion were considered for the study. conclusions: this study showed a high incidence of thrombosis of peripheral veins used for picc insertion.
38072566,Chemotherapy,the majority of patients receiving chemotherapy undergo picc catheterization. participants with malignant tumors receiving chemotherapy who accepted picc insertion operation were randomly allocated to the aspirin treatment group (n = 235) or the control group (n = 246).
38072566,PICC insertion procedure,participants with malignant tumors receiving chemotherapy who accepted picc insertion operation were randomly allocated to the aspirin treatment group (n = 235) or the control group (n = 246).
38072566,PICC infection,"however, piccs are significantly associated with catheter related complications, including deep vein thrombosis, blood infection, fibrin sheath, catheter prolapse, catheter displacement and blockage."
