PMID,FACTOR,RISK,TEXT
31937457,Previous PICC,Yes,"with increasing frequency of previous picc placement, the rates of picc-associated bsi increased: 3.5% (31/883) without previous placement, 7.6% (13/171) in once, and 9.9% (9/32) in twice or more. discussion: the previous picc placement was an independent risk factor for picc-associated bsi and the risk proportionally rose with the increasing frequency of prior picc placement.. previous peripherally inserted central catheter (picc) placement as a risk factor for picc-associated bloodstream infections.."
31937457,Medical department admission (including ICU),Yes,". multivariable analysis identified the significant risk factors for picc-associated bsi as a prior picc placement (odds ratio [or], 2.48; 95% confidence interval [ci], 1.36-4.53), medical department admission (or, 1.89; 95% ci, 1.03-3.46), and older age (or, 1.03; 95% ci, 1.00-1.05).."
36717942,PICC dwell time,No,". all clinical signs and a duration of picc maintenance ≥ 28 days, had a low ppvs (≤ 67.1%) but high npvs (≥ 92.5%) for pr-bsi.."
34628865,Chemotherapy,No,"risk factors for peripherally inserted central catheter (picc)-associated infections in patients receiving chemotherapy and the preventive effect of a self-efficacy intervention program: a randomized controlled trial. in this study, we retrospectively analyzed picc-associated infections in chemotherapy patients treated at our hospital in recent years to identify risk factors for picc-associated infections and the preventive effect of a self-efficacy intervention program. methods: using a convenience sampling method, we selected 159 cancer patients who received chemotherapy through a picc at our hospital between july 2017 and december 2018, and the patients were randomly divided to an observation group (n=79) and a control group (n=80) using a random number table. results: among the 159 chemotherapy patients, 26 (16.35%) experienced picc-associated infections in this finished trial.. ."
34628865,PICC dwell time,Yes,". univariate analysis showed that sex, puncture site, and steroid use were unrelated to picc-associated infections (p>0.05), whereas picc indwelling time, white blood cell (wbc) count, a history of diabetes, and immunity were significantly related to picc-associated infections (p<0.05). picc indwelling time, wbc count, a history of diabetes, and immunity are independent risk factors for picc-associated infections; thus, measures should be implemented to prevent infections.."
29118410,Two or more lumens,Yes,". multivariate analyses demonstrated that power picc, high charison scores, diabetes mellitus, double lumens triple lumens were risk factors for picc-related infections among icu patients. power picc, high charison scores, diabetes mellitus, multi-lumens are risk factors for picc-related bloodstream infection in icu patients.. multivariate analyses demonstrated that power picc, high charison scores, diabetes mellitus, double lumens triple lumens were risk factors for picc-related infections among icu patients.."
29118410,Antibiotic therapy,No,". the isolated fungi showed low resistance to the commonly used antifungal antibiotics.. drug sensitivity analyses indicated that gram-negative bacteria showed low resistance to carbapenems antibiotics, and cefperazone/sulbactam. the isolated fungi showed low resistance to the commonly used antifungal antibiotics.."
29118410,Medical department admission (including ICU),No,"the microbiological characteristics and risk factors for picc-related bloodstream infections in intensive care unit. the study was aimed to investigate the pathogens distribution and risk factors for picc-related bloodstream infection in intensive care unit (icu) patients.. . the study was aimed to investigate the pathogens distribution and risk factors for picc-related bloodstream infection in intensive care unit (icu) patients. multivariate logistic and cox analyses were performed to identify the risk factors for picc-related infection in icu patients. multivariate analyses demonstrated that power picc, high charison scores, diabetes mellitus, double lumens triple lumens were risk factors for picc-related infections among icu patients. power picc, high charison scores, diabetes mellitus, multi-lumens are risk factors for picc-related bloodstream infection in icu patients.."
34723657,Antibiotic therapy,No,". bridging the gap: introduction of an antimicrobial peripherally inserted central catheter (picc) in response to high picc central line-associated bloodstream infection incidence. objective: to reduce the incidence of central line-associated bloodstream infection (clabsi) in peripherally inserted central catheters (picc) through the introduction of an antimicrobial (am) catheter as recommended in evidence-based guidelines and standards. conclusion: combined with continued compliance with basic prevention strategies (ie use of a central line insertion checklist/insertion bundle) and optimization of device selection and lumen justification, the introduction of an antimicrobial/antithrombogenic (am/at) picc was associated with a significant reduction in clabsi.."
36438461,Hospital length of stay,Yes,". logistic regression analysis was utilized to evaluate the association of patient-related risk factors with picc utilization, complications, readmissions, and length of stay (los).. the picc group demonstrated significantly longer los by 2 days (7.72 days versus 5.14 days). conclusion: while not required for the majority of hand, wrist, and forearm infections, picc placement is associated with increased medical complications, more frequent hospital readmissions, and longer los.."
36597793,Previous PICC,Yes,"in the multivariate analysis, previous picc placement within 6 months was an independent risk factor for a picc-associated bloodstream infection (odds ratio, 2.835; 95% confidence interval, 1.143-7.034; p=0.025).. ."
36597793,Medical department admission (including ICU),No,". clinical, periprocedural, and outcome data were compared for picc placement in the icu, general ward, and fluoroscopy unit groups, respectively.."
25910751,Acute myeloid leukemia,Yes,"cox regression analyses of variables associated to crbsis and to crtcs showed that only the type of disease (acute leukemia compared to other diseases) was significantly associated to a higher incidence of crbsis, while no feature was predictive for a higher risk of crtcs.."
34511570,Chemotherapy,No,"risk factors for complications associated with peripherally inserted central catheters during induction chemotherapy for acute myeloid leukemia. however, the risks of picc-related complications during chemotherapy for acute myeloid leukemia (aml) are not fully understood. conclusion low picc-related complication rates, possibly associated with high rates of catheter removal, were observed during intensive chemotherapy for aml.. ."
34511570,Acute myeloid leukemia,No,"risk factors for complications associated with peripherally inserted central catheters during induction chemotherapy for acute myeloid leukemia. however, the risks of picc-related complications during chemotherapy for acute myeloid leukemia (aml) are not fully understood.."
33633889,Immunosuppression,Yes,their use in patients suffering from a malignant disease is common but may pose a greater risk of complications due to the severe immunosuppression associated with treatment.. .
33409725,Chemotherapy,No,"eleven hindrances were summarized, including high costs, unavailability of local services, worries about affecting family members, a lack of health awareness, inconvenient transportations, fluke minds, physical discomfort, fears of leukemia and chemotherapy, short chemotherapy intervals, damage to appearance, and no insurance coverage of costs.. ."
33409725,Acute myeloid leukemia,No,"eleven hindrances were summarized, including high costs, unavailability of local services, worries about affecting family members, a lack of health awareness, inconvenient transportations, fluke minds, physical discomfort, fears of leukemia and chemotherapy, short chemotherapy intervals, damage to appearance, and no insurance coverage of costs. conclusion: leukemia patients' compliance with picc care was hindered by several factors.."
29516966,PICC dwell time,Yes,". factor analysis of variance showed that many factors were related to picc catheter-related infections, including experience of operator (χ(2) = 3.48, p < 0.05), catheter retention time (χ(2) = 7.478, p < 0.05), receiving chemotherapy or not (χ(2) = 2.43, p < 0.05), karnofsky performance scale scores (χ(2) = 2.19, p < 0.05) and the frequency of replacing pad pasting on the point of puncture (χ(2) = 2.23). logistic regression analysis showed that picc catheter retention time (odds ratio [or] = 4.21, p < 0.05) and operator experience (or = 2.80, p < 0.05) were independent factors affected picc catheter-related infections.."
29516966,Operator experience,Yes,"factor analysis of variance showed that many factors were related to picc catheter-related infections, including experience of operator (χ(2) = 3.48, p < 0.05), catheter retention time (χ(2) = 7.478, p < 0.05), receiving chemotherapy or not (χ(2) = 2.43, p < 0.05), karnofsky performance scale scores (χ(2) = 2.19, p < 0.05) and the frequency of replacing pad pasting on the point of puncture (χ(2) = 2.23).. ."
32028425,Two or more lumens,Yes,". picc for chemotherapy (hazards ratio [hr] 11.421; 95% confidence interval (ci), 2.434-53.594; p = .019), double lumen catheter [hr 5.466; 95% ci, 1.257-23.773; p = .007], and picc for antibiotic therapy [hr 2.854; 95% ci, 1.082-7.530; p = .019] were associated with picc-clabsi.picc for chemotherapy or antibiotics, and number of catheter lumens are associated with increased risk of picc-clabsi in cancer patients.."
32028425,Antibiotic therapy,Yes,". picc for chemotherapy (hazards ratio [hr] 11.421; 95% confidence interval (ci), 2.434-53.594; p = .019), double lumen catheter [hr 5.466; 95% ci, 1.257-23.773; p = .007], and picc for antibiotic therapy [hr 2.854; 95% ci, 1.082-7.530; p = .019] were associated with picc-clabsi.picc for chemotherapy or antibiotics, and number of catheter lumens are associated with increased risk of picc-clabsi in cancer patients.."
34498477,Postplacement,No,"results: there was no difference in the total compliance rate of picc tip position and the incidence of the catheter malposition in the two groups (p>0.05).. the total compliance rate [picc tip was located in the lower third of the superior vena cava (svc) and the cavo-atrial junction (caj)], the optimal position compliance rate (picc tip was located in the caj), and the incidence of the catheter tip malposition were compared between the two groups.."
28807074,Two or more lumens,No,". significant risk factors associated with picc-clabsi included hematological cancer (3 points), clabsi within 3 months of picc insertion (2 points), multilumen picc (2 points), solid cancers with ongoing chemotherapy (2 points), receipt of total parenteral nutrition (tpn) through the picc (1 point), and presence of another central venous catheter (cvc) at the time of picc placement (1 point).."
28807074,Parenteral nutrition,No,"significant risk factors associated with picc-clabsi included hematological cancer (3 points), clabsi within 3 months of picc insertion (2 points), multilumen picc (2 points), solid cancers with ongoing chemotherapy (2 points), receipt of total parenteral nutrition (tpn) through the picc (1 point), and presence of another central venous catheter (cvc) at the time of picc placement (1 point).."
37070255,PICC dwell time,No,"there was no significant intergroup difference in the overall rate of catheter-related complications (picc: 9.4% vs cicc: 3.8%; odds ratio [or]: 2.65; 95% confidence interval [ci]: 0.63-10.2, p = 0.145), and there were 7.7 and 9.0 complications per 1000 catheter days in the picc and cicc groups, respectively (hazard ratio [hr]: 0.61; 95% ci: 0.14-2.65, p = 0.513).. ."
24439240,Parenteral nutrition,No,background & aims: peripherally inserted central venous catheters (picc) have become increasingly popular for medium to long-term parenteral nutrition (pn) but there is limited data on the complication rates in this sub-group..
37731133,PICC dwell time,No,"the confirmed incidence of central line-associated bloodstream infection was 3.4% (45 patients), and these infections occurred on 1.9 per 1000 catheter days.. ."
30755503,Advanced Age,No,". aes increased when picc was inserted at the brachial site (hazard ratio [hr], 1.37; 95% confidence interval [ci], 1.02-1.84) and with open systems (hr, 1.89; 95% ci, 1.24-2.88) and decreased in older men (hr, 0.63; 95% ci, 0.49-0.81).. moreover, alternatives to piccs should be considered when administering chemotherapy to young men.."
30755503,Chemotherapy,No,"conclusion: use of picc for chemotherapy administration was associated with a low all-aes rate. moreover, alternatives to piccs should be considered when administering chemotherapy to young men.. ."
33746117,Chemotherapy,Yes,objective: this study is aimed at verifying the effect of specific management modalities aimed at reducing or preventing the incidence of infections in the blood flow in relation to the use of the central venous catheter (crbsi = catheterrelated bloodstream infection) in patients undergoing chemotherapy.. .
27033138,Two or more lumens,No,". background the number of peripherally inserted central catheter (picc) lumens is associated with thrombotic and infectious complications.. methods model inputs, including risk of complications and costs associated with single- and multilumen piccs, were obtained from available literature and a multihospital collaborative quality improvement project.."
32057552,Antibiotic therapy,No,. case subjects were defined as patients who received iv antimicrobial treatment through a picc line placed and maintained by specifically trained nurses (picc group). control subjects were defined as patients who received antimicrobial therapy by a peripheral or a central venous catheter (cvc) (control group)..
27179394,PICC dwell time,No,"results: significant outcomes included a central-line associated blood stream infection rate that changed from 1.38/1,000 catheter days to 0/1,000 catheter days, 0 provider-led premature picc removals, an overall 84% decrease in premature picc removals (from 16%-2.5%; p < .0001), a decrease in the total complication rate from 45.5%-24% (p < .0001), and 25% reduction in radiology costs.. ."
24954426,Medical department admission (including ICU),No,"picc aes accounted for increased intensive care unit admissions, ht list inactivations, and overall cost.. ."
38250594,Antibiotic therapy,No,". there were also no significant differences in maximum crp, insertion site abnormalities, or anti-infective drug use between the groups.."
23838218,Two or more lumens,Yes,". immunosuppression (p<.01), power-injectable piccs (p=.05), and 3 picc lumens compared with 1 lumen (p=.02) were associated with clabsi. conclusions: immunosuppression and 3 picc lumens were associated with increased risk of clabsi.."
23838218,Immunosuppression,Yes,"immunosuppression (p<.01), power-injectable piccs (p=.05), and 3 picc lumens compared with 1 lumen (p=.02) were associated with clabsi. conclusions: immunosuppression and 3 picc lumens were associated with increased risk of clabsi.. ."
23838218,Postplacement,No,". objective: peripherally inserted central catheter (picc) tip malposition is potentially associated with complications, and postplacement adjustment of piccs is widely performed.."
23838218,Power-injectable piccs,Yes,"immunosuppression (p<.01), power-injectable piccs (p=.05), and 3 picc lumens compared with 1 lumen (p=.02) were associated with clabsi. power-injectable piccs were also associated with increased vt formation (p=.03). power-injectable piccs were associated with increased risk of clabsi and vt formation.. ."
26045668,Seasonality (summer / warm),Yes,". catheter care delay (or =2.612, 95% ci: 1.373-4.969) and indwelling mostly in summer (or =4.784, 95% ci: 2.681-8.538) were associated with higher infection incidence. conclusion: statlock fixing and tip position located in the lower one-third of the superior vena cava were protective factors against picc-related infection, while catheter care delay and indwelling mostly in summer were risk factors.."
26045668,Postplacement,No,"multivariate analysis showed statlock fixing (odds ratio [or] =0.555, 95% confidence interval [ci]: 0.326-0.945) and tip position located in the lower one-third of the superior vena cava (or =0.340, 95% ci: 0.202-0.571) were associated with lower picc infection rate. conclusion: statlock fixing and tip position located in the lower one-third of the superior vena cava were protective factors against picc-related infection, while catheter care delay and indwelling mostly in summer were risk factors.. ."
26045668,Fixation device,No,"multivariate analysis showed statlock fixing (odds ratio [or] =0.555, 95% confidence interval [ci]: 0.326-0.945) and tip position located in the lower one-third of the superior vena cava (or =0.340, 95% ci: 0.202-0.571) were associated with lower picc infection rate. conclusion: statlock fixing and tip position located in the lower one-third of the superior vena cava were protective factors against picc-related infection, while catheter care delay and indwelling mostly in summer were risk factors.. ."
26045668,Catheter care delay,Yes,"catheter care delay (or =2.612, 95% ci: 1.373-4.969) and indwelling mostly in summer (or =4.784, 95% ci: 2.681-8.538) were associated with higher infection incidence. conclusion: statlock fixing and tip position located in the lower one-third of the superior vena cava were protective factors against picc-related infection, while catheter care delay and indwelling mostly in summer were risk factors.."
30704933,Advanced Age,No,". the use of a picc is safer than that of a cicc and maintains the effectiveness for patients with aml undergoing chemotherapy, with an approximate fourfold lower combined risk of infection or thrombosis at 30 days.."
30704933,Chemotherapy,No,"the use of a picc is safer than that of a cicc and maintains the effectiveness for patients with aml undergoing chemotherapy, with an approximate fourfold lower combined risk of infection or thrombosis at 30 days.. ."
27020965,Chemotherapy,Yes,"background and objectives: the increasing use of peripherally inserted central venous catheters (piccs) for chemotherapy has led to the observation of an elevated risk of complications and failures. statistically significant risk factors were previous dvt (hr 2.95, 95%ci 1.33-6.53), reason for picc implant (hr 3.65, 95%ci 1.12-10.34) and 5-fluorouracil, oxaliplatin and bevacizumab based chemotherapy (hr 3.11, 95%ci 1.17-8.26). nevertheless, a 15% rate of failure has to be taken in account when planning picc insertion for chemotherapy purposes.. ."
27020965,PICC dwell time,No,"reasons for failures were upper extremity deep venous thrombosis (uedvt) 12 (4.1%), central line associate bloodstream infection (clabsi) 5 (1.7%) with an infection rate of 0.95 per 1,000 catheter days, exit site infection 9 (3.1%) with a rate of 1.46 per 1,000 catheter days, catheter dislodgment 11 (3.8%), and occlusion 7 (2.4%).. ."
37052429,Two or more lumens,Yes,". objective: implement computerized decision support to: (a) increase the use of midline catheters over piccs when appropriate and (b) decrease picc lumens when a picc is necessary.. background: inappropriate use of peripherally inserted central catheters (piccs), including multilumen piccs, may increase the risk of patient complications.."
26202391,Auto/allograft,Yes,". multivariate logistic regression analysis showed a higher picc-related infection rate with chemotherapy (odds ratio (or) 7.2-confidence interval (ci) 95% [1.77-29.5]), auto/allograft (or 5.9-ci 95% [1.2-29.2]), and anti-coagulant therapy (or 2.2-95% [1.4-12]). conclusion: chemotherapy, auto/allograft, and anti-coagulant therapy are associated with an increased risk of developing picc-related infections. clinical advance: chemotherapy, auto/allograft, and anti-coagulant therapy are important predictors of picc-associated infections.."
26202391,Anticoagulants therapy,Yes,". multivariate logistic regression analysis showed a higher picc-related infection rate with chemotherapy (odds ratio (or) 7.2-confidence interval (ci) 95% [1.77-29.5]), auto/allograft (or 5.9-ci 95% [1.2-29.2]), and anti-coagulant therapy (or 2.2-95% [1.4-12]). conclusion: chemotherapy, auto/allograft, and anti-coagulant therapy are associated with an increased risk of developing picc-related infections. clinical advance: chemotherapy, auto/allograft, and anti-coagulant therapy are important predictors of picc-associated infections.."
30180989,Antibiotic-coated catheters,No,peripherally inserted central catheter-associated bloodstream infection: risk factors and the role of antibiotic-impregnated catheters for prevention. background: antimicrobial-impregnated (aip) peripherally inserted central catheters (piccs) may lower risk of central line-associated bloodstream infection (clabsi) compared with nonantimicrobial-impregnated (naip) catheters.. .
30180989,Antibiotic therapy,No,. background: antimicrobial-impregnated (aip) peripherally inserted central catheters (piccs) may lower risk of central line-associated bloodstream infection (clabsi) compared with nonantimicrobial-impregnated (naip) catheters.. peripherally inserted central catheter-associated bloodstream infection: risk factors and the role of antibiotic-impregnated catheters for prevention..
30180989,Acute myeloid leukemia,Yes,"other risk factors included chemotherapy, placement of a tunneled catheter, leukemia, and aids. highest risk occurred with placement of a tunneled catheter, aids, leukemia, and if the indication for picc was chemotherapy.."
30180989,Immunosuppression,Yes,". other risk factors included chemotherapy, placement of a tunneled catheter, leukemia, and aids. highest risk occurred with placement of a tunneled catheter, aids, leukemia, and if the indication for picc was chemotherapy.."
32709498,Medical department admission (including ICU),No,"objective: to compare central line associated bloodstream infection (clabsi) and catheter-related thrombosis rates in intensive care unit (icu) and onco-hematologic patients with picc lines and cvcs.. . objective: to compare central line associated bloodstream infection (clabsi) and catheter-related thrombosis rates in intensive care unit (icu) and onco-hematologic patients with picc lines and cvcs. picc lines were associated with a significantly higher rate of thrombosis in icu [or (95%ci): 2.58(1.80,3.70); p(z)<0.00001] and onco-hematologic [or (95%ci): 2.91(2.11,4.02); p(z)<0.00001] patients. clabsi rates with picc lines were not significantly different in icu patients [or (95%ci): 1.65(0.91,2.99); p(z)= 0.1], but significantly lower clabsi rates were observed in onco-hematologic patients [or (95%ci): 0.38(0.16,0.91); p(z)=0.03].."
37370862,Chemotherapy,Yes,"in conclusion, the incidence rate of piccr-bsi is higher in cancer patients treated with chemotherapy than in noncancer patients, but our results also highlight the importance of limiting the number of picc lumens in such patients.. ."
37370862,Two or more lumens,Yes,". however, after adjusting for variables resulting in an imbalance between groups after propensity-score matching, only the number of picc lumens was independently associated with piccr-bsi (adjusted hazard ratio 1.81, 95% confidence interval: 1.01-3.22; p = 0.04). in conclusion, the incidence rate of piccr-bsi is higher in cancer patients treated with chemotherapy than in noncancer patients, but our results also highlight the importance of limiting the number of picc lumens in such patients.."
23295565,Two or more lumens,No,". independent risk factors for picc bsis included congestive heart failure (odds ratio [or], 2.0 [95% confidence interval (ci), 1.26-3.17]; p = .003), intra-abdominal perforation (or, 5.66 [95% ci, 1.76-18.19]; p = .004), clostidium difficile infection (or, 2.25 [95% ci, 1.17-4.33]; p = .02), recent chemotherapy (or, 3.36 [95% ci, 1.15-9.78]; p = .03), presence of tracheostomy (or, 5.88 [95% ci, 2.99-11.55]; p < .001), and type of catheter (or for double lumen, 1.89 [95% ci, 1.15-3.10]; p = .01 ; or for triple lumen, 2.87 [95% ci, 1.39-5.92]; p = .004).."
23295565,Medical department admission (including ICU),No,". underlying chronic obstructive pulmonary disease (or, 0.48 [95% ci, 0.29-0.78]; p = .03) and admission to surgical (or, 0.43 [95% ci, 0.24-0.79]; p = .006) or oncology and orthopedic (or, 0.35 [95% ci, 0.13-0.99]; p = .05) services were less likely to be associated with having a picc bsi.."
30560363,Medical department admission (including ICU),No,"other risk factors (i.e., age, gender, comorbidity, picc duration, veins, hospital stay, and intensive care unit stay) showed no significant correlations with clabsi.. ."
30379146,Two or more lumens,Yes,". less lumens-less risk: a pilot intervention to increase the use of single-lumen peripherally inserted central catheters. to reduce risk of complications, existing guidelines recommend use of peripherally inserted central catheters (piccs) with the minimal number of lumens. the proportion of piccs with an inappropriate number of lumens decreased from 25.6% preintervention to 2.2% postintervention (p < .001).."
35587883,PICC dwell time,No,the main outcome measure was the incidence rate of catheter-associated bacteremia per 1000 catheter days.. .
28218366,PICC dwell time,No,nine (1.9%) patients developed symptomatic upper extremity deep venous thrombosis (uedvt) and central line associated bloodstream infection (clabsi) was shown in six (1.3%) piccs with an infection rate 0.12 per 1000 catheter days.. .
28978332,Antibiotic-coated catheters,No,all groups except ta + spu had a chlorhexidine-gluconate (chg) impregnated disc.. .
35177128,PICC dwell time,No,". background: we aimed to assess whether longer indwelling time of peripherally inserted central catheters (picc) increases risk of central line associated bloodstream infections (clabsi) in haematology patients. in the unadjusted analysis, piccs with an indwelling time of 15-28 days, 29-42 days, 43-56 days and > 56 days each had an increased clabsi incidence rate ratio of 2.4 (1.2-4.8), 2.2 (0.95-5.0), 3.4 (1.6-7.5) and 1.7 (0.9-3.5), respectively, compared to piccs in place for < 15 days. conclusions: our study shows that risk of clabsi does not appear to increase with longer picc indwelling time.."
37046808,Chemotherapy,No,intravascular complications of central venous catheterization by insertion site in acute leukemia during remission induction chemotherapy phase: lower risk with peripherally inserted catheters in a single-center retrospective study. picc was a valid cvc for the induction chemotherapy of acute leukemia for the lowest risk of sdvt and bsi.. .
37046808,Acute myeloid leukemia,No,intravascular complications of central venous catheterization by insertion site in acute leukemia during remission induction chemotherapy phase: lower risk with peripherally inserted catheters in a single-center retrospective study. picc was a valid cvc for the induction chemotherapy of acute leukemia for the lowest risk of sdvt and bsi..
36845901,Antibiotic therapy,No,". extended hospitalizations for monitored parenteral antibiotics for patients with opioid use disorder are challenging for patients, reduce bed capacity, and are associated with significant cost.."
36845901,Hospital length of stay,No,"conclusions: the stop oud project reduced hospital length of stay for patients with opioid use disorder and serious infections, and had a favorable financial impact.. ."
28218360,PICC dwell time,No,"results: during 4963 catheter days and after 709 dressing changes (documented by 373 pictures), the use of sas was associated with no episode of picc dislodgement and a lower incidence of complications if compared to traditional securement devices.. ."
24911379,Hospital length of stay,Yes,". additionally, in conditional univariate analyses, length of stay, malnutrition, and after-hours placement were associated with increased risk of catheter-associated thrombosis. conclusions: screening of patients undergoing picc placement with attention to malnutrition, bmi >30, and length of stay may reduce the risk of picc-associated complications.."
28540264,PICC dwell time,Yes,". we employed univariate analysis to explore the relationship of various factors, including leukemia types, puncture times, underlying diseases, catheter indwelling time, hormones use, chemotherapy use, immune functions and seasons, with the incidence of cri. univariate analysis showed that puncture times, underlying diseases, catheter indwelling time, hormones use, chemotherapy use, immune functions and seasons were significantly correlated with the incidence of cri.."
28540264,Acute myeloid leukemia,Yes,"analysis of risk factors of peripherally inserted central catheter induced catheter-related infection in patients with leukemia. the purpose of this study was to investigate the risk factors of catheter-related infection (cri) in patients with leukemia and to provide some nursing strategies based on the results. we employed univariate analysis to explore the relationship of various factors, including leukemia types, puncture times, underlying diseases, catheter indwelling time, hormones use, chemotherapy use, immune functions and seasons, with the incidence of cri. conclusion: based on risk factors of cri and its etiological distribution, appropriate nursing measures can be taken to reduce the incidence of cri in patients with leukemia.."
28540264,Immunosuppression,Yes,". we employed univariate analysis to explore the relationship of various factors, including leukemia types, puncture times, underlying diseases, catheter indwelling time, hormones use, chemotherapy use, immune functions and seasons, with the incidence of cri. univariate analysis showed that puncture times, underlying diseases, catheter indwelling time, hormones use, chemotherapy use, immune functions and seasons were significantly correlated with the incidence of cri. multivariate logistic regression analysis revealed that immune functions, puncture times and seasons were independent risk factors for cri.."
28540264,Seasonality (summer / warm),Yes,"we employed univariate analysis to explore the relationship of various factors, including leukemia types, puncture times, underlying diseases, catheter indwelling time, hormones use, chemotherapy use, immune functions and seasons, with the incidence of cri. univariate analysis showed that puncture times, underlying diseases, catheter indwelling time, hormones use, chemotherapy use, immune functions and seasons were significantly correlated with the incidence of cri. multivariate logistic regression analysis revealed that immune functions, puncture times and seasons were independent risk factors for cri.. ."
37736715,Chemotherapy,No,"because more than half of the patients with picc-related complications could be managed with conventional interventions, piccs remain a priority for cancer patients undergoing short-term chemotherapy.. ."
32569313,PICC dwell time,Yes,"to identifying statistical correlations between catheter days and pabsi, the odds ratio for pabsi on the basis of the continuous value of catheter days was analyzed using restricted cubic spline splits with five knots. in the restricted cubic spline regression, catheter days showed a dose-dependent relationship with the risk of pabsi.. . appropriate duration of peripherally inserted central catheter maintenance to prevent central line-associated bloodstream infection.. background/aim: prolonged maintenance of central venous catheters, including peripherally inserted central catheters (piccs), is a major risk factor for central line-associated bloodstream infection (clabsi).."
27240799,Antibiotic-coated catheters,No,the impact of chlorhexidine (chg)-impregnated versus non-chg peripherally inserted central catheters (piccs) on risk of clabsi is unknown. methods: patients in 3 high-risk units were randomly assigned to receive either a chg-impregnated or non-chg picc line.. a comparative evaluation of antimicrobial coated versus nonantimicrobial coated peripherally inserted central catheters on associated outcomes: a randomized controlled trial..
27240799,Antibiotic therapy,No,. a comparative evaluation of antimicrobial coated versus nonantimicrobial coated peripherally inserted central catheters on associated outcomes: a randomized controlled trial..
37435240,Medical department admission (including ICU),No,background central line-associated bloodstream infection (clabsi) is among the most common bloodstream infections in the university hospital and intensive care unit settings.. .
35862722,Medical department admission (including ICU),No,. the mi-picc score: a risk-prediction model for picc-associated complications in the icu..
33908337,Antibiotic-coated catheters,No,". multivariable cox proportional hazards models with robust sandwich standard error estimates accounting for the clustered nature of data were used to identify factors associated with picc complications in coated versus noncoated devices across general care, intensive care unit (icu), and oncology patients.."
