PMID,YEAR,TITLE,ABSTRACT,LANGUAGE,TYPE,MH,OT
29552318,2018,Risk associated with central catheters for malignant tumor patients: a systematic review and meta-analysis. ,"The risk of venous thrombosis and mortality associated with central catheter (PICC/CICC) for malignant tumor patients is not definite. So, we carried out a systematic review and meta-analysis to evaluate it. Among patients with comparing PICC with CICC, odds ratio (OR) or risk ratio (RR) was calculated with a random effect model meta-analysis. The result of the stratification analysis of 7 studies (PICC vs CICC) supported the theory that CICCs were associated with a decrease in the odds ratio of thrombosis compared with PICCs. 7 of 15 studies provided the information about the compared mortality rate of the patients. The result showed that CICCs were associated with a decrease in the odds ratio of thrombosis compared with PICCs (OR = 0.45, 95% CI:0.32-0.62, p < 0.0001, I(2) = 0%,Tau(2) = 0.00). Meta-analysis of 8 studies of 2639 patients showed that pharmacological deep vein thrombosis prophylaxis drugs could decrease the risk of mortality of malignant tumor patients with CICCs (RR = 0.58, 95% CI:0.48-0.71, Z = 5.32, p < 0.0001, I(2) = 71%). We found that PICCs are associated with a raised risk of deep vein thrombosis, and pharmacological deep vein thrombosis prophylaxis drugs is a beneficial factor in decreasing the incidence of thrombosis, while warfarin may decrease the risk of mortality of malignant tumor patients with CICCs. ",['eng'],['Journal Article'],[],['CICC' 'PICC' 'central catheters' 'mortality' 'thrombosis']
32057552,2020,Peripherally inserted central venous catheter placed and maintained by a dedicated nursing team for the administration of antimicrobial therapy vs. another type of catheter: a retrospective case-control study. ,"INTRODUCTION: Data concerning the use of peripherally inserted central catheters (PICC) for the administration of intravenous (IV) antimicrobials in the acute care setting is scarce. METHODS: We performed a single-center retrospective case-control study (1:1). Case subjects were defined as patients who received IV antimicrobial treatment through a PICC line placed and maintained by specifically trained nurses (PICC group). Control subjects were defined as patients who received antimicrobial therapy by a peripheral or a central venous catheter (CVC) (control group). Control subjects were matched by type of antimicrobial, causative microorganism of the infection that was being treated and duration of treatment. An event leading to undesired catheter removal (ELUCR) was defined as any circumstance which lead to the removal of the indwelling catheter other than the completion of the scheduled course of antimicrobial therapy. RESULTS: The study included 50 patients in each group. The total follow-up time was 1376 catheter-days for the PICC group and 1362 catheter-days for the control group. We observed a significantly lower incidence of ELUCR in the PICC group (0.2 versus 7.7 events per 100 catheter-days; P<0.001). When the incidence of ELUCR was analyzed according to the duration of indwelling catheterisation for each type of catheter (divided into one-week intervals), differences between both groups were also significant (P-values≤0.001 for the first three weeks of treatment). During the second week of IV treatment, only one patient in the PICC group (2.1%) developed an ELUCR compared to 19 (38.8%) in the control group (P<0.001). CONCLUSIONS: A PICC placed and maintained by a dedicated nursing team is an excellent alternative to peripheral venous catheters or CVCs for administrating antimicrobial therapy for both short and long periods of treatment. ",['eng' 'spa'],['Journal Article'],"['*Anti-Infective Agents/administration & dosage' 'Case-Control Studies'
 '*Catheterization, Central Venous' 'Catheterization, Peripheral'
 '*Central Venous Catheters' 'Humans' 'Retrospective Studies']","['Adverse effects' 'Antimicrobial therapy'
 'Bacteriemia asociada a catéter' 'Catheter-related bloodstream infection'
 'Catéter venoso central de inserción periférica' 'Efectos adversos'
 'Peripherally inserted central catheter' 'Thrombophlebitis'
 'Tratamiento antimicrobiano' 'Tromboflebitis']"
26900912,2016,Impact of a Surgeon-Led Peripherally Inserted Central Venous Catheter Team on Peripherally Inserted Central Venous Catheter-Related Complications and Costs. ,"BACKGROUND: Peripherally inserted central venous catheters (PICCs) are popular for a broad range of indications. As with other forms of central access, PICC use can be associated with serious and potentially costly complications. In 2000, in response to the rising popularity of PICC use, a surgeon-led team was created to steward their placement. All requests were screened rigorously to ensure rational use. Our hypothesis was that creation of a dedicated PICC team would decrease inappropriate PICC placement, overall complication rates, and cost. METHODS: The study was a retrospective review of prospectively collected data captured in the PICC team-maintained database between 2000 and 2013. The database was reviewed for PICC indications, reasons PICC requests were denied, and septic or thrombotic complications after PICC placement. To estimate cost savings, PICC supplies and each occurrence of blood stream infection (BSI) and thrombotic complication was assigned a cost on the basis of the available literature. RESULTS: Between 2000 and 2013, 35,651 PICC placements were requested, of which 24,638 (69.1%) were approved, 22,157 (62.1%) immediately and 2,481 (6.9%) after initial refusal in view of further review of the indications. Most (95%) of the PICCs inserted were placed at the bedside within 1 d of approval. Blood stream infections occurred in 5.9% of patients and thrombosis in 2.7%. The attributable costs saved by declining placement of unnecessary PICCs, assuming the same proportions of patients would have developed a complication, could be as high as $5.4 million (M) in supplies, $7.77 M in avoided BSI and $2.25 M in avoided thrombotic complications, for a total savings of $15.44 M. CONCLUSIONS: The implementation of a surgeon-led PICC team had a significant impact on the placement rate, reducing cost by supplies foregone and complications avoided. Cost savings related to PICC placement alone should be considered as the definite cost savings because of the judicious allocation of resources. ",['eng'],['Journal Article'],"['Boston' 'Catheter-Related Infections/economics/*prevention & control'
 '*Catheterization, Central Venous/adverse effects/economics/methods'
 '*Catheterization, Peripheral/adverse effects/economics/methods'
 'Cost Savings/*statistics & numerical data' 'Databases, Factual'
 'Hospital Costs/*statistics & numerical data' 'Humans' 'Leadership'
 'Patient Care Team/*organization & administration'
 'Retrospective Studies' 'Surgeons']",[]
27500259,2016,Deep Vein Thrombosis and Pulmonary Embolism in Liver Transplant Patients: Risks and Prevention. ,"Deep vein thrombosis (DVT) and pulmonary embolism (PE) are surgical complications estimated to occur in 5% to 10% of patients. There are limited data regarding DVT/PE in the early postoperative period in liver transplant patients. The aim of this study is to determine risk factors that influence the incidence of DVT/PE and the effectiveness of prophylaxis. METHODS: We reviewed the records of 999 patients who underwent initial liver transplant between January 2000 and June 2012 at Henry Ford Hospital. In 2011, a standardized prophylactic regimen using subcutaneous (SQ) heparin was initiated. All patients that developed either upper/lower extremity DVT or PE within the first 30 days of transplant formed the cohort of this study. RESULTS: On multivariate analysis, only peripherally inserted central catheter (PICC) placement and SQ heparin were associated with DVT/PE. In patients receiving heparin, 3 (1.0%) had DVT/PE versus 25 (3.5%) who did not receive heparin (P = 0.03). Sixteen (6.9%) patients that had a PICC developed DVT/PE compared with 12 (1.6%) patients without a PICC (P < 0.001). In the heparin group, DVT/PE with PICC was reduced to 3 (3.0%) versus 13 (9.9%) in those with a PICC and did not receive heparin (P = 0.03). Mean time from transplant to DVT/PE diagnosis was 12.3 days. Length of hospitalization was significantly longer in patients who developed DVT/PE (18.5 vs 10.0 days, P < 0.001). CONCLUSIONS: In this study, we demonstrated that PICC placement significantly increases the likelihood of DVT/PE in liver transplant recipients. Prophylactic SQ heparin effectively reduced DVT/PE events in this patient population. ",['eng'],['Journal Article'],[],[]
29148004,2018,"Cephalad dislocation of PICCs under different upper limb positions: influence of age, gender, BMI, number of lumens. ","PURPOSE: To evaluate parameters that influence the amount of movement of peripherally inserted central catheter (PICC) tips regarding upper limb movement. METHODS: In a prospective 12-month observational study, 200 PICCs were implanted in 162 patients (mean age 56.8 ± 15.2 years) by interventional radiologists into the basilic vein of the mid-aspect of the upper arm. Three PICC tip positions were documented with a chest x-ray: patient supine with an abducted (90°), an adducted arm, and in an upright position with an adducted arm. Multivariable analyses were performed, based on the three positions: body mass index (BMI), number of lumens, age, gender, side of the implantation, and brand. RESULTS: Up to 88% of the PICCs dislocated in a mean of 19 mm cephalad when the patient was positioned from a supine in an upright position. The greatest influence upon dislocation was the position change from supine to upright. The side of the implanted PICC (left vs. right) had no influence. CONCLUSIONS: Cephalad dislocations of mean 19 mm regularly occur in the upright position induced by gravity. This needs to be taken in account and the PICC should be safely positioned one vertebra lower in the superior vena cava superior with a last confirmation of the PICC placement in an upright position. ",['eng'],['Journal Article' 'Observational Study'],"['Adult' 'Age Factors' 'Aged' '*Body Mass Index'
 'Catheterization, Central Venous/adverse effects/*instrumentation'
 'Catheterization, Peripheral/adverse effects/*instrumentation'
 '*Catheters, Indwelling' '*Central Venous Catheters' 'Equipment Design'
 'Female' 'Foreign-Body Migration/diagnostic imaging/*etiology' 'Humans'
 'Male' 'Middle Aged' '*Patient Positioning' 'Phlebography'
 'Prospective Studies' 'Risk Factors' 'Sex Factors' 'Treatment Outcome'
 'Upper Extremity/*blood supply' '*Veins/diagnostic imaging']",['Dislocation' 'Malpositioning' 'PICC']
24246096,2014,"Incidence, risk factors and clinical outcomes of peripherally inserted central catheter spontaneous dislodgment in oncology patients: a prospective cohort study. ","PURPOSE: Peripherally inserted central catheter (PICC) spontaneous dislodgment is insidious in onset and prone to cause complications. We performed a prospective cohort study to examine the incidence, risk factors and clinical results of PICC spontaneous dislodgment in oncology patients to facilitate successful early diagnosis, prophylaxis and management. PATIENTS AND METHODS: Consecutive oncology patients, undergoing placement of PICCs, were enrolled and prospectively followed up until their catheters were removed or PICC spontaneous dislodgment presented. The patients with PICC spontaneous dislodgment or catheter-associated thrombosis (CRT) were followed up for an extra three months from the date of diagnosis. The main endpoint was PICC spontaneous dislodgment, and the sub-endpoints were CRT and catheter in-place time. The PICC insertion team, nurses, interventional radiologists and oncology doctors collected longitudinal data. RESULTS: Over a total of 60,894 days of cumulative follow-up, 21 out of 510 PICCs presented spontaneous dislodgment, leading to an incidence rate of 4.12%. The CRT rate of the group with PICC spontaneous dislodgment was much higher than that of the group without PICC spontaneous dislodgment (RR=17.46, 95% CI: 8.29-36.82, p=1.09×10(-17)). Five baseline exposure factors, including primary lung cancer, metastatic lung cancer, chest radiotherapy, vigorous coughing and severe vomiting, were significant risk factors of PICC spontaneous dislodgment. Basilic vein access (odds ratio [OR]=0.39, 95% CI: 0.16-0.95, P=0.04) was a protective factor against PICCSD in univariate analysis. Among these factors, the independent significant risk factors were vigorous coughing (OR=6.14, 95% CI: 1.70-22.16, P=0.01) and severe vomiting (OR=3.70, 95% CI: 1.28-10.68, P=0.02). CONCLUSION: The incidence rate of PICC spontaneous dislodgment is 4.12% (0.34 per 1000 catheter-days); PICC spontaneous dislodgment significantly increases the risk of CRT and shortens catheter in-place time. Vigorous coughing and severe vomiting were independent risk factors of PICC spontaneous dislodgment among oncology patients. ",['eng'],"['Journal Article' ""Research Support, Non-U.S. Gov't""]","['Aged' 'Catheterization, Central Venous/*adverse effects' 'China'
 'Female' 'Humans' 'Incidence' 'Male' 'Middle Aged' 'Neoplasms/*therapy'
 'Prospective Studies' 'Risk Factors']","['Catheter-related thrombosis' 'Peripherally inserted central catheter'
 'Risk factor' 'Spontaneous dislodgment' 'Tip position']"
27179394,2016,"A novel infection prevention approach: Leveraging a mandatory electronic communication tool to decrease peripherally inserted central catheter infections, complications, and cost. ","BACKGROUND: Peripherally inserted central catheters (PICCs) removed prematurely for unconfirmed infection or thrombosis lead to subsequent reinsertions and associated complications. To improve clinical quality, a mandatory electronic communication tool (MECT) based on clinical practice guidelines was mandated for all inpatient adult PICCs in an academically affiliated tertiary medical center. This MECT facilitated early communication and specialized evaluation with the PICC team for any complications related to PICCs. METHODS: A historical cohort study was conducted. Quality and cost measurements for 200 PICCs postinstitution of a MECT were compared with 200 PICCs 12 months prior. PICC removal and complication rates were compared for the 2 cohorts. RESULTS: Significant outcomes included a central-line associated blood stream infection rate that changed from 1.38/1,000 catheter days to 0/1,000 catheter days, 0 provider-led premature PICC removals, an overall 84% decrease in premature PICC removals (from 16%-2.5%; P < .0001), a decrease in the total complication rate from 45.5%-24% (P < .0001), and 25% reduction in radiology costs. CONCLUSION: A novel infection prevention approach leveraging a MECT resulted in 0 central line-associated bloodstream infections and provider-led premature PICC removals. ",['eng'],['Journal Article'],"['Adolescent' 'Adult' 'Aged' 'Aged, 80 and over'
 'Catheter-Related Infections/*economics/*prevention & control'
 'Catheterization, Central Venous/*adverse effects' 'Female' 'Humans'
 'Infection Control/*economics/*methods' '*Interprofessional Relations'
 'Male' 'Middle Aged' 'Tertiary Care Centers' 'Young Adult']","['Central-line associated blood stream infection' 'IR nurse practitioner'
 'PICC removal checklist' 'PICC team' 'Premature PICC removal']"
24052764,2013,Bridging the gap: a collaborative to reduce peripherally inserted central catheter infections in the home care environment. ,"BACKGROUND: Ochsner Health System agreed to participate in a nationwide collaboration to reduce central line infections in our intensive care units. Our outpatient peripherally inserted central catheter (PICC) infection rate was unacceptably high, so as an adjunct to the nationwide study we attempted to reduce PICC infections in the home care environment. Typically, home health nurses or outpatient infusion centers care for PICCs per protocol. However, no standardized protocol exists, and each facility may have a different way to care for PICCs, leading to varied and inconsistent maintenance. METHODS: Key members from our hospital, home health agencies, and an infusion company formulated a plan to reduce outpatient PICC infections. We hypothesized that the only way to reduce infections was to standardize line care and maintenance and to empower the patient to be an advocate for his or her care. The best avenue for achieving standardized care across multiple infusion companies and multiple home health agencies was to develop an order set for PICC care and dressing changes. We also developed a checklist for the nurse and the patient to complete together during dressing changes. The checklist and order set were linked to the hospital's home health discharge orders so that they would print automatically when the provider discharged the patient to home health care. RESULTS: Baseline data were collected from July 1, 2010, to June 30, 2011. During that time, the infusion company identified 20 PICC infections. In 20,773 line days, the infection rate was 0.963 per 1,000 line days. The new order sets and checklists were instituted on July 1, 2011. From July 1, 2011 through June 30, 2012, 11 PICC infections were identified with 21,021 line days. The calculated infection rate was 0.52 per 1,000 line days. PICC infections so far have been reduced by 46%. CONCLUSION: By bridging the gap between inpatient and outpatient care, we reduced PICC infections by 46% in our home infusion patients. We accomplished this result through a collaborative partnership among hospital staff, an infusion company, and home health agencies and a standardized process for line care and maintenance using a PICC home care order set and a patient/nursing PICC care checklist. ",['eng'],['Journal Article'],[],"['Home care services' 'PICC-peripherally inserted central catheter'
 'infection control']"
24954426,2014,Are peripherally inserted central catheters associated with increased risk of adverse events in status 1B patients awaiting transplantation on continuous intravenous milrinone? ,"BACKGROUND: Peripherally inserted central catheters (PICCs) are used to deliver continuous intravenous (IV) milrinone in stage D heart failure (HF) patients awaiting heart transplantation (HT). METHODS: We retrospectively analyzed PICC adverse events (AEs) and associated cost in 129 status 1B patients from 2005 to 2012. End points were HT, left ventricular assist device (LVAD), and death. Regression analysis was used to identify AE risk factors. RESULTS: Fifty-three PICC AEs occurred in 35 patients (27%), consisting of 48 infections, 4 thromboses, and 1 bleeding event. Median duration of PICC support was 63 (interquartile range [IQR] 34-131) days, and median time to first PICC infection was 44 (IQR 14-76) days. Among PICC infections, 9% required defibrillator removal and 30% were inactivated on the HT list for a mean of 23 ± 17 days. Rate of HT, LVAD, or death was similar between groups (P > .05). Regression analysis found that a double lumen PICC was associated with a shorter time to first PICC infection (hazard ratio 7.59, 95% CI 1.97-29.23; P = .003). Median cost per PICC infection was $10,704 (IQR $7,401-$26,083). CONCLUSIONS: PICC infections were the most frequent AEs. PICCs with >1 lumen were associated with increased risk of infection. PICC AEs accounted for increased intensive care unit admissions, HT list inactivations, and overall cost. ",['eng'],"['Journal Article' 'Research Support, N.I.H., Extramural']","['Academic Medical Centers' 'Cardiotonic Agents/*therapeutic use'
 'Catheter-Related Infections/economics/epidemiology'
 'Catheterization, Central Venous/*adverse effects/instrumentation'
 'Catheterization, Peripheral/*adverse effects/instrumentation' 'Female'
 'Heart Failure/classification/*drug therapy' 'Heart Transplantation'
 'Heart-Assist Devices' 'Hemorrhage/epidemiology' 'Humans'
 'Infusions, Intravenous'
 'Intensive Care Units/statistics & numerical data' 'Male' 'Middle Aged'
 'Milrinone/*therapeutic use' 'Regression Analysis'
 'Retrospective Studies' 'Tennessee/epidemiology'
 'Venous Thromboembolism/epidemiology' 'Waiting Lists']","['Heart failure' 'infection' 'inotrope'
 'peripherally inserted central catheter']"
26342484,2016,Port catheter versus peripherally inserted central catheter for postoperative chemotherapy in early breast cancer: a retrospective analysis of 448 patients. ,"PURPOSE: We aimed to compare the complication rate between port catheters (PC) and peripherally inserted central catheters (PICC) for the administration of postoperative chemotherapy for breast cancer. METHODS: All patients treated from January 2010 to August 2012 at the Centre Henri Becquerel for early breast cancer requiring postoperative chemotherapy were retrospectively screened. The primary endpoint was the occurrence of a major complication related to the central venous catheter. Major complications were defined as any grade 3 event according to CTCAE 4.0, delay in chemotherapy >7 days, change of the device, life-threatening event, event requiring a hospitalization, or a prolongation of hospitalization. RESULTS: A total of 448 patients were included; 290 had a PC and 158 a PICC. Overall, 31 major complications related to the central venous catheter were observed: 13 for patients with a PC (4.5%) and 18 for patients with a PICC (11.4%). In univariate analysis, having a PICC was the only factor significantly associated with a higher risk of major complications (HR = 2.83, p = 0.0027). We observed a trend for a higher risk of major complications for patients older than 60 years or with BMI >25 (p = 0.06). In multivariate analysis, having a PICC was the only predictive factor of major complications (HR = 2.89, p = 0.004). CONCLUSIONS: In univariate and multivariate analysis, having a PICC instead of a PC was the only predictive factor of device-related major complication. If confirmed prospectively by the NCT02095743 ongoing trial, this result might modify the management of adjuvant chemotherapy administration. ",['eng'],"['Journal Article' ""Research Support, Non-U.S. Gov't""]","['Breast Neoplasms/*drug therapy'
 'Catheterization, Central Venous/*adverse effects/instrumentation/methods'
 'Catheterization, Peripheral/*adverse effects/instrumentation/methods'
 'Female' 'Humans' 'Middle Aged' 'Postoperative Care'
 'Retrospective Studies']","['Adjuvant' 'Breast neoplasm' 'Central venous catheter' 'Chemotherapy'
 'Peripherally inserted central venous catheter (PICC)' 'Port catheter']"
23817954,2013,Central vascular catheters versus peripherally inserted central catheters in nurse anesthesia. A perspective within the Greek health system. ,"PURPOSE: We present a study comparing the insertion of central vascular catheter (CVC) and peripherally inserted central catheter (PICC) by an anesthesia nurse at 2 Greek University Hospitals. METHODS: Eighty patients, aged 20-80 years, were enrolled in the study. Patients were divided into 2 groups. In group A (41 patients), a CVC was inserted in the internal jugular vein. In group B (39 patients), a pressure-injectable PICC was inserted in the basilica vein. RESULTS: Correlations between the methods applied, the patients' characteristics, the procedures' characteristics and the overall satisfaction scores for each procedure were examined. The final results show that the patients of group B (PICC method) were more satisfied with the procedure than the patients of group A (CVC method), at the statistical significance level of a=0.01. Also, according to the results of the analysis, the PICC method offers significantly more comfort and relative satisfaction than the CVC method, at the statistical significance level of a=0.01. The satisfaction scores of ""physicians"" were statistically more significant, at a=0.01, for the patients of group A (classic CVCs) mainly because of the insufficient flow rate of the PICCs when compared with the CVCs and especially if one considers the fact that the physicians did not have any experience with the PICC method at all. CONCLUSIONS: PICCs under ultrasound guidance constitute the solution of choice for patients and they definitely surpass the CVCs focusing mainly on the improvement of the quality of life and the satisfaction of patients. ",['eng'],"['Comparative Study' 'Journal Article' 'Multicenter Study'
 'Randomized Controlled Trial']","['Adult' 'Aged' 'Aged, 80 and over' 'Attitude of Health Personnel'
 'Catheterization, Central Venous/adverse effects/*instrumentation'
 'Catheterization, Peripheral/adverse effects/*instrumentation'
 '*Central Venous Catheters' 'Female' 'Greece' 'Hospitals, University'
 'Humans' '*Jugular Veins/diagnostic imaging' 'Male' 'Middle Aged'
 '*Nurse Anesthetists' 'Patient Satisfaction' 'Quality of Life'
 'Ultrasonography, Interventional' 'Young Adult']",[]
23838218,2013,Impact of postplacement adjustment of peripherally inserted central catheters on the risk of bloodstream infection and venous thrombus formation. ,"OBJECTIVE: Peripherally inserted central catheter (PICC) tip malposition is potentially associated with complications, and postplacement adjustment of PICCs is widely performed. We sought to characterize the association between central line-associated bloodstream infection (CLABSI) or venous thrombus (VT) and PICC adjustment. DESIGN: Retrospective cohort study. SETTING: University of Michigan Health System, a large referral hospital. PATIENTS: Patients who had PICCs placed between February 2007 and August 2007. METHODS: The primary outcomes were development of CLABSI within 14 days or VT within 60 days of postplacement PICC adjustment, identified by review of patient electronic medical records. RESULTS: There were 57 CLABSIs (2.69/1,000 PICC-days) and 47 VTs (1.23/1,000 PICC-days); 609 individuals had 1, 134 had 2, and 33 had 3 or more adjustments. One adjustment was protective against CLABSI (P=.04), whereas 2 or 3 or more adjustments had no association with CLABSI (P=.58 and .47, respectively). One, 2, and 3 or more adjustments had no association with VT formation (P=.59, .85, and .78, respectively). Immunosuppression (P<.01), power-injectable PICCs (P=.05), and 3 PICC lumens compared with 1 lumen (P=.02) were associated with CLABSI. Power-injectable PICCs were also associated with increased VT formation (P=.03). CONCLUSIONS: Immunosuppression and 3 PICC lumens were associated with increased risk of CLABSI. Power-injectable PICCs were associated with increased risk of CLABSI and VT formation. Postplacement adjustment of PICCs was not associated with increased risk of CLABSI or VT. ",['eng'],"['Journal Article' 'Research Support, N.I.H., Extramural']","['Bacteremia/*epidemiology/microbiology'
 'Catheter-Related Infections/*epidemiology/microbiology'
 'Catheterization, Central Venous/*adverse effects/methods'
 'Catheterization, Peripheral/*adverse effects/methods'
 'Cross Infection/*epidemiology/microbiology' 'Female'
 'Fungemia/epidemiology/etiology' 'Humans' 'Male' 'Middle Aged'
 'Retrospective Studies' 'Risk Factors'
 'Venous Thrombosis/*epidemiology/etiology']",[]
27642604,2016,A Novel Two-Step Technique for Retrieving Fractured Peripherally Inserted Central Catheter Segments Migrating into the Heart or the Pulmonary Artery. ,"Objective. To report the experience of a percutaneous technique for retrieving fractured peripherally inserted central catheter (PICC) segments migrating into the heart or the pulmonary artery. Method. From April 2013 to July 2015, we performed percutaneous retrieval of fractured PICC segments migrating into the heart or the pulmonary artery in five cancer patients who had undergone chemotherapy via PICC. The fractures were diagnosed with chest plain radiography. The patients included three cases of breast cancer, one case of rectal cancer, and one case of lower limb Ewing's tumor. The fractures were retained in the vessels of the patients for 1 to 3 days. All the fractures were retrieved by using a novel two-step technique in the digital subtraction angiography (DSA) suite. This two-step technique involves inserting a pigtail catheter to the heart or the pulmonary artery to grasp the fractured catheter fragment and bring it to the lower segment of the inferior vena cava, followed by grasping and removing the catheter fragment with a retrieval loop system of the vena cava filter retrieval set. Result. The fractured PICC segments were removed successfully in all five patients via unilateral (four patients) or bilateral (one patient) femoral vein access. No complications occurred during the interventional procedure. Conclusion. Percutaneous retrieval can be a safe, convenient, and minimally invasive method for the removal of fractured PICC segments. The technique reported in this paper will be applicable for the retrieval of fractured PICC segments and other catheter fragments migrating into the heart or the pulmonary artery. ",['eng'],['Journal Article'],"['Adult' 'Catheterization, Central Venous/*adverse effects'
 'Central Venous Catheters/*adverse effects' 'Device Removal/*methods'
 'Equipment Failure' 'Female' 'Humans' 'Male' 'Middle Aged'
 'Pulmonary Artery/diagnostic imaging/injuries' 'Retrospective Studies'
 'Young Adult']",[]
26045668,2015,The incidence and risk factors of peripherally inserted central catheter-related infection among cancer patients. ,"BACKGROUND: As the use of peripherally inserted central catheters (PICCs) increased in chemotherapy, the identification of complications and risk factors became essential to prevent patient harm. But little is known about PICC-related infection and risk factors among patients with cancer. Our study was to identify the prevalence, patterns, and risk factors of catheter-related infections associated with PICCs. METHODS: A 3-year prospective cohort study was conducted in a university-affiliated hospital. All patients with cancer who met inclusion criteria were enrolled. The patients were followed up until catheter removal. Tip cultures were routinely performed at the time of catheter removal. The general information was recorded at the time of PICC insertion, weekly care, and removal. Univariable and multivariable logistic regression analyses were applied for identification of risk factors. RESULTS: In total, 912 cancer patients with 912 PICCs of 96,307 catheter days were enrolled. Ninety-four developed PICC-related infection; 46 were exit-site infection, 43 were catheter bacterial colonization, and five were PICC-related bloodstream infection. The median time from catheter insertion to infection was 98.26 days. Multivariate analysis showed StatLock fixing (odds ratio [OR] =0.555, 95% confidence interval [CI]: 0.326-0.945) and tip position located in the lower one-third of the superior vena cava (OR =0.340, 95% CI: 0.202-0.571) were associated with lower PICC infection rate. Catheter care delay (OR =2.612, 95% CI: 1.373-4.969) and indwelling mostly in summer (OR =4.784, 95% CI: 2.681-8.538) were associated with higher infection incidence. CONCLUSION: StatLock fixing and tip position located in the lower one-third of the superior vena cava were protective factors against PICC-related infection, while catheter care delay and indwelling mostly in summer were risk factors. Policy and measures targeting these factors may be necessary to reduce the risk of infection. ",['eng'],['Journal Article'],[],"['PICC' 'catheter-related bloodstream infection' 'clinical study'
 'complication']"
24005884,2014,Comparison of peripherally inserted central venous catheters (PICC) versus subcutaneously implanted port-chamber catheters by complication and cost for patients receiving chemotherapy for non-haematological malignancies. ,"PURPOSE: Indwelling central venous catheters (CVCs) have been increasingly used to enable delivery of intravenous chemotherapy. We aimed to compare the safety and cost of two commonly used CVCs, peripherally inserted central venous catheter (PICCs) and ports, in the delivery of chemotherapy in patients with non-haematological malignancies. METHODS: Seventy patients were randomly assigned to receive either a PICC or a port. The primary endpoint was occurrence of major complications, which required removal of the CVC and secondary endpoints included occurrence of any complications. RESULTS: Port devices were associated with fewer complications compared with PICC lines (hazard ratio of 0.25, CI, 0.09-0.86, P = 0.038). Major complication rate was lower in the port arm compared to the PICC arm (0.047 versus 0.193 major complications/100 catheter days, P = 0.034) with 6 versus 20 % of patients experiencing major complications, respectively. Thrombosis, the most common complication, was significantly higher in the PICC arm compared to the port arm (25 versus 0 %, P = 0.013). Quality of life and cost estimates did not differ significantly between the two arms. CONCLUSIONS: Port devices are associated with a lower risk of complications, with no difference in cost, compared to PICC lines in patients with non-haematological malignancies receiving intravenous chemotherapy. ",['eng'],['Journal Article' 'Multicenter Study' 'Randomized Controlled Trial'],"['Aged' 'Antineoplastic Agents/administration & dosage' 'Australia'
 'Catheterization, Central Venous/*adverse effects/*economics/instrumentation'
 'Catheterization, Peripheral/*adverse effects/*economics/instrumentation'
 'Central Venous Catheters/adverse effects/economics' 'Female' 'Humans'
 'Male' 'Middle Aged' 'Neoplasms/blood/*drug therapy/economics'
 'Quality of Life' 'Survival Rate' 'Thrombosis/economics/etiology'
 'Vascular Access Devices/adverse effects/economics']",[]
32664112,2020,Prognostic factors for venous thrombosis in patients with peripherally inserted central catheters: Protocol for a systematic review and meta-analysis. ,"BACKGROUND: Peripherally inserted central catheters (PICCs) has become increasingly popular in clinical practice because of the ease and safety of insertion and lower cost-effectiveness. The precise incidence and risk of PICC-related venous thrombosis is important to be verified in the context of growing PICC use and an understanding of the risk of venous thrombosis is an important cost and patient safety question. METHOD: We will search seven electronic databases including the Cochrane Library, MEDLINE, EMBASE, Chinese BioMedical Database, China National Knowledge Infrastructure, Chinese VIP and Wangfang Database regardless of publication date or language. All studies with prognostic factor analysis will be included if they recruited participants with PICC. Primary outcomes will include venous thrombosis. The risk of bias will be assessed by 2 authors using quality in prognostic studies tool. If possible, a meta-analysis in fixed or random effects model will be conducted by R-3.5.1 software, otherwise a narrative synthesis will ensue focusing on prognostic factors. The confidence in cumulative evidence will be assessed by Based on the Grading of Recommendations Assessment, Development and Evaluation. RESULTS: The aim of this study is to retrieve, appraise and summarize the clinical evidence of risk assessment for PICC-related venous thrombosis. CONCLUSIONS: This study will assess the precise incidence and risk of venous thrombosis in patients with PICC and provide references for establishing relevant assessment tools. ETHICS AND DISSEMINATION: This study is a protocol for systematic review and meta-analysis of prognostic factors for venous thrombosis in PICC patients. This review will be published in a journal and disseminated in print by peer-review. ",['eng'],['Journal Article'],"['Catheterization, Peripheral/*adverse effects' 'Humans' 'Prognosis'
 '*Research Design' 'Risk Assessment' 'Risk Factors'
 'Venous Thrombosis/*etiology' 'Meta-Analysis as Topic'
 'Systematic Review as Topic']",[]
