PMID,FACTOR,TEXT
31937457,Previous PICC,"previous peripherally inserted central catheter (picc) placement as a risk factor for picc-associated bloodstream infections. . background: peripherally inserted central catheter (picc) -associated bloodstream infection (bsi) is a concern. methods: a case-control study was conducted to assess risk factors for picc-associated bsi. results: a total of 1,215 cases and 31,874 catheter days were analyzed. in total, 54 cases of picc-associated bsi were detected giving an infection rate of 1.69 per 1,000 catheter-days. the most frequently isolated pathogens were coagulase-negative staphylococci (26%), followed by enterococcus species (22%), candida species (17%), and staphylococcus aureus (11%). multivariable analysis identified the significant risk factors for picc-associated bsi as a prior picc placement (odds ratio [or], 2.48; 95% confidence interval [ci], 1.36-4.53), medical department admission (or, 1.89; 95% ci, 1.03-3.46), and older age (or, 1.03; 95% ci, 1.00-1.05). with increasing frequency of previous picc placement, the rates of picc-associated bsi increased: 3.5% (31/883) without previous placement, 7.6% (13/171) in once, and 9.9% (9/32) in twice or more. discussion: the previous picc placement was an independent risk factor for picc-associated bsi and the risk proportionally rose with the increasing frequency of prior picc placement. conclusions: patients with repeatedly inserted picc should be managed more carefully for prevention and should be monitored for the development of picc-associated bsi. "
31937457,Medical department admission (including ICU),"previous peripherally inserted central catheter (picc) placement as a risk factor for picc-associated bloodstream infections. . background: peripherally inserted central catheter (picc) -associated bloodstream infection (bsi) is a concern. methods: a case-control study was conducted to assess risk factors for picc-associated bsi. results: a total of 1,215 cases and 31,874 catheter days were analyzed. in total, 54 cases of picc-associated bsi were detected giving an infection rate of 1.69 per 1,000 catheter-days. the most frequently isolated pathogens were coagulase-negative staphylococci (26%), followed by enterococcus species (22%), candida species (17%), and staphylococcus aureus (11%). multivariable analysis identified the significant risk factors for picc-associated bsi as a prior picc placement (odds ratio [or], 2.48; 95% confidence interval [ci], 1.36-4.53), medical department admission (or, 1.89; 95% ci, 1.03-3.46), and older age (or, 1.03; 95% ci, 1.00-1.05). with increasing frequency of previous picc placement, the rates of picc-associated bsi increased: 3.5% (31/883) without previous placement, 7.6% (13/171) in once, and 9.9% (9/32) in twice or more. discussion: the previous picc placement was an independent risk factor for picc-associated bsi and the risk proportionally rose with the increasing frequency of prior picc placement. conclusions: patients with repeatedly inserted picc should be managed more carefully for prevention and should be monitored for the development of picc-associated bsi. "
36717942,PICC dwell time,"clinical factors associated with peripherally inserted central catheters (picc) related bloodstream infections: a single centre retrospective cohort. . background: despite their spread in daily practice, few data is available on clinical factors associated with peripherally inserted central catheter (picc)-related bloodstream infections (pr-bsi). we aimed to assess the pr-bsi incidence, microbiology, and factors associated with pr-bsi with a focus on clinical symptoms. methods: we conducted a retrospective cohort study in a french university hospital. we screened all picc insertions performed from april 1st, 2018, to april 1st, 2019, and included picc insertions in adult patients. we assessed the pr-bsi incidence, the factors associated with pr-bsi using a cox model, and negative and positive predictive values (npvs and ppvs) of each clinical sign for pr-bsi. results: of the 901 piccs inserted in 783 patients (38,320 catheters days), 214 piccs (24%) presented with a complication. the most prevalent complication was pr-bsi (1.9 per 1000 catheter days; 8.1% of inserted piccs ). enterobacterales (n = 27, 37%) and coagulase negative staphylococci (n = 24, 33%), were the main microorganisms responsible for pr-bsi. factors independently associated with occurrence of pr-bsi were fever (hazard ratio 13.21, 95% confidence interval 6.00-29.11, p < 0.001) and chills (hr 3.66, 95%ci 1.92-6.99, p < 0.001). all clinical signs and a duration of picc maintenance ≥ 28 days, had a low ppvs (≤ 67.1%) but high npvs (≥ 92.5%) for pr-bsi. conclusions: monitoring of clinical signs, especially fever and chills, with caution and limitation of device maintenance duration, could improve picc management. "
34628865,Chemotherapy,"risk factors for peripherally inserted central catheter (picc)-associated infections in patients receiving chemotherapy and the preventive effect of a self-efficacy intervention program: a randomized controlled trial. . background: a peripherally inserted central catheter (picc) effectively reduces frequent vein punctures in cancer patients. with increasing clinical applications, picc-associated infections are attracting increasing attention. in this study, we retrospectively analyzed picc-associated infections in chemotherapy patients treated at our hospital in recent years to identify risk factors for picc-associated infections and the preventive effect of a self-efficacy intervention program. methods: using a convenience sampling method, we selected 159 cancer patients who received chemotherapy through a picc at our hospital between july 2017 and december 2018, and the patients were randomly divided to an observation group (n=79) and a control group (n=80) using a random number table. the control group received conventional intervention, and the observation group received a self-efficacy intervention. we analyzed self-efficacy scores before and after the intervention, the complication rate, the infection rate, pathogens identified, and risk factors for picc-associated infections. results: among the 159 chemotherapy patients, 26 (16.35%) experienced picc-associated infections in this finished trial. univariate analysis showed that sex, puncture site, and steroid use were unrelated to picc-associated infections (p>0.05), whereas picc indwelling time, white blood cell (wbc) count, a history of diabetes, and immunity were significantly related to picc-associated infections (p<0.05). the self-efficacy score improved after the intervention in both groups, especially in the observation group (p<0.05). the incidence of complications such as catheter infection, catheter blockage, and catheter displacement was significantly lower in the observation group than in the control group (16. 67% vs. 88.10%; p<0.05). conclusions: the self-efficacy intervention improves self-management and reduces complications in cancer patients receiving chemotherapy through a picc. picc indwelling time, wbc count, a history of diabetes, and immunity are independent risk factors for picc-associated infections; thus, measures should be implemented to prevent infections. trial registration: chinese clinical trial registry chictr2100050651. "
34628865,PICC dwell time,"risk factors for peripherally inserted central catheter (picc)-associated infections in patients receiving chemotherapy and the preventive effect of a self-efficacy intervention program: a randomized controlled trial. . background: a peripherally inserted central catheter (picc) effectively reduces frequent vein punctures in cancer patients. with increasing clinical applications, picc-associated infections are attracting increasing attention. in this study, we retrospectively analyzed picc-associated infections in chemotherapy patients treated at our hospital in recent years to identify risk factors for picc-associated infections and the preventive effect of a self-efficacy intervention program. methods: using a convenience sampling method, we selected 159 cancer patients who received chemotherapy through a picc at our hospital between july 2017 and december 2018, and the patients were randomly divided to an observation group (n=79) and a control group (n=80) using a random number table. the control group received conventional intervention, and the observation group received a self-efficacy intervention. we analyzed self-efficacy scores before and after the intervention, the complication rate, the infection rate, pathogens identified, and risk factors for picc-associated infections. results: among the 159 chemotherapy patients, 26 (16.35%) experienced picc-associated infections in this finished trial. univariate analysis showed that sex, puncture site, and steroid use were unrelated to picc-associated infections (p>0.05), whereas picc indwelling time, white blood cell (wbc) count, a history of diabetes, and immunity were significantly related to picc-associated infections (p<0.05). the self-efficacy score improved after the intervention in both groups, especially in the observation group (p<0.05). the incidence of complications such as catheter infection, catheter blockage, and catheter displacement was significantly lower in the observation group than in the control group (16. 67% vs. 88.10%; p<0.05). conclusions: the self-efficacy intervention improves self-management and reduces complications in cancer patients receiving chemotherapy through a picc. picc indwelling time, wbc count, a history of diabetes, and immunity are independent risk factors for picc-associated infections; thus, measures should be implemented to prevent infections. trial registration: chinese clinical trial registry chictr2100050651. "
29118410,Two or more lumens,"the microbiological characteristics and risk factors for picc-related bloodstream infections in intensive care unit. . the study was aimed to investigate the pathogens distribution and risk factors for picc-related bloodstream infection in intensive care unit (icu) patients. 402 patients placed with picc in icu were recruited in the study. the microbiological characteristics of picc-related infection were investigated by vitek 2 compact automated microbial system. antibiotics sensitivity was performed with disk diffusion and minimum inhibitory concentration (mic) methods. multivariate logistic and cox analyses were performed to identify the risk factors for picc-related infection in icu patients. 38 picc-related infection cases were observed, and its morbidity was 9.45%. the morbidity was significantly higher in power picc cases than that in common picc cases. gram-positive bacteria might be responsible for the major infection cases, followed by gram-negative bacteria, and fungi. drug sensitivity analyses indicated that gram-negative bacteria showed low resistance to carbapenems antibiotics, and cefperazone/sulbactam. the gram-positive bacterial exhibited sensitive to teicoplanin and vancomycin. the isolated fungi showed low resistance to the commonly used antifungal antibiotics. multivariate analyses demonstrated that power picc, high charison scores, diabetes mellitus, double lumens triple lumens were risk factors for picc-related infections among icu patients. power picc, high charison scores, diabetes mellitus, multi-lumens are risk factors for picc-related bloodstream infection in icu patients. "
29118410,Antibiotic therapy,"the microbiological characteristics and risk factors for picc-related bloodstream infections in intensive care unit. . the study was aimed to investigate the pathogens distribution and risk factors for picc-related bloodstream infection in intensive care unit (icu) patients. 402 patients placed with picc in icu were recruited in the study. the microbiological characteristics of picc-related infection were investigated by vitek 2 compact automated microbial system. antibiotics sensitivity was performed with disk diffusion and minimum inhibitory concentration (mic) methods. multivariate logistic and cox analyses were performed to identify the risk factors for picc-related infection in icu patients. 38 picc-related infection cases were observed, and its morbidity was 9.45%. the morbidity was significantly higher in power picc cases than that in common picc cases. gram-positive bacteria might be responsible for the major infection cases, followed by gram-negative bacteria, and fungi. drug sensitivity analyses indicated that gram-negative bacteria showed low resistance to carbapenems antibiotics, and cefperazone/sulbactam. the gram-positive bacterial exhibited sensitive to teicoplanin and vancomycin. the isolated fungi showed low resistance to the commonly used antifungal antibiotics. multivariate analyses demonstrated that power picc, high charison scores, diabetes mellitus, double lumens triple lumens were risk factors for picc-related infections among icu patients. power picc, high charison scores, diabetes mellitus, multi-lumens are risk factors for picc-related bloodstream infection in icu patients. "
29118410,Medical department admission (including ICU),"the microbiological characteristics and risk factors for picc-related bloodstream infections in intensive care unit. . the study was aimed to investigate the pathogens distribution and risk factors for picc-related bloodstream infection in intensive care unit (icu) patients. 402 patients placed with picc in icu were recruited in the study. the microbiological characteristics of picc-related infection were investigated by vitek 2 compact automated microbial system. antibiotics sensitivity was performed with disk diffusion and minimum inhibitory concentration (mic) methods. multivariate logistic and cox analyses were performed to identify the risk factors for picc-related infection in icu patients. 38 picc-related infection cases were observed, and its morbidity was 9.45%. the morbidity was significantly higher in power picc cases than that in common picc cases. gram-positive bacteria might be responsible for the major infection cases, followed by gram-negative bacteria, and fungi. drug sensitivity analyses indicated that gram-negative bacteria showed low resistance to carbapenems antibiotics, and cefperazone/sulbactam. the gram-positive bacterial exhibited sensitive to teicoplanin and vancomycin. the isolated fungi showed low resistance to the commonly used antifungal antibiotics. multivariate analyses demonstrated that power picc, high charison scores, diabetes mellitus, double lumens triple lumens were risk factors for picc-related infections among icu patients. power picc, high charison scores, diabetes mellitus, multi-lumens are risk factors for picc-related bloodstream infection in icu patients. "
34723657,Antibiotic therapy,"bridging the gap: introduction of an antimicrobial peripherally inserted central catheter (picc) in response to high picc central line-associated bloodstream infection incidence. . objective: to reduce the incidence of central line-associated bloodstream infection (clabsi) in peripherally inserted central catheters (picc) through the introduction of an antimicrobial (am) catheter as recommended in evidence-based guidelines and standards. design: quality improvement project comparing incidence of infections pre-implementation and postimplementation of the new catheter. setting: a 582-bed community teaching hospital in northwest indiana. methods: pre-implementation analysis of surveillance data indicated that 50% of clabsis occurred inpatients with piccs in situ. a gap analysis was performed to review institutional practices against evidence-based recommendations. the use of an am catheter was supported in each of the documents consulted. after introduction of the new device, performance was measured in a prospective manner using standardized centers for disease control and prevention (cdc) national healthcare safety network (nhsn) surveillance protocols for clabsi and internal data sources for other measures. results: after 30 months of data collection, the picc clabsi incidence reduced from a baseline rate of 1.83/1000 picc days to 0.162/1000 picc days (91.15% reduction, p=0.0002). conclusion: combined with continued compliance with basic prevention strategies (ie use of a central line insertion checklist/insertion bundle) and optimization of device selection and lumen justification, the introduction of an antimicrobial/antithrombogenic (am/at) picc was associated with a significant reduction in clabsi. "
36438461,Hospital length of stay,"peripherally inserted central line catheters following hand and wrist infections. . hand and wrist infections may cause varying degrees of morbidity requiring antibiotic therapy of variable duration and often operative intervention. peripherally inserted central line catheters (piccs) are placed when an extended course of intravenous antibiotics is anticipated. the present study aims to analyze utilization and impact of picc placement on the management of hand, wrist, and forearm infections. methods: the pearldiver patients records database was queried to identify patients who underwent treatment for infection of the hand, wrist, and forearm between 2010 and 2018. logistic regression analysis was utilized to evaluate the association of patient-related risk factors with picc utilization, complications, readmissions, and length of stay (los). results: a total of 24,665 patients with an upper extremity infection were included in the study. ultimately, 416 patients required a picc placement (1.69%). patients with older age, male gender, certain medical comorbidities, and infection involving deeper structures were more likely to require a picc. ninety-day all-cause medical complication rates were significantly higher for the picc group (19.7% versus 6.7%) compared to those without. any hospital readmission rates were significantly higher for picc group at 90 days (28.4% versus 6.3%) and 1 year (35.8% versus 10.9%). readmission rates remained slightly higher at 1 year for both groups. the picc group demonstrated significantly longer los by 2 days (7.72 days versus 5.14 days). conclusion: while not required for the majority of hand, wrist, and forearm infections, picc placement is associated with increased medical complications, more frequent hospital readmissions, and longer los. "
36597793,Previous PICC,"safety and efficacy of peripherally inserted central catheter placement by surgical intensivist-led vascular access team. . purpose: this study aimed to evaluate the safety and efficacy of bedside peripherally inserted central catheter (picc) placement under ultrasonography (usg) guidance in the general ward by a surgical intensivist-led vascular access team versus that of picc placement in the intensive care unit (icu) or fluoroscopy unit. materials and methods: we conducted this retrospective study of all patients who underwent picc placement between march 2021 and may 2022. clinical, periprocedural, and outcome data were compared for picc placement in the icu, general ward, and fluoroscopy unit groups, respectively. results: a total of 354 picc placements were made in 301 patients. among them, usg-guided picc placement was performed in 103 and 147 cases in the icu and general ward, respectively, while fluoroscopy-guided picc placement was performed in 104 cases. usg-guided picc placement more often required post-procedural catheter repositioning than fluoroscopy-guided picc placement (p<0.001), but there was no significant difference in any adverse events (p=0.796). in addition, usg-guided picc placement in the general ward was more efficient than fluoroscopy-guided picc placement (0.73 days vs. 5.73 days, respectively; p<0.001). in the multivariate analysis, previous picc placement within 6 months was an independent risk factor for a picc-associated bloodstream infection (odds ratio, 2.835; 95% confidence interval, 1.143-7.034; p=0.025). conclusion: usg-guided picc placement in the general ward by a surgical intensivist-led vascular access team has comparable safety and efficiency to that of usg-guided picc placement in the icu or fluoroscopy-guided picc placement. "
36597793,Medical department admission (including ICU),"safety and efficacy of peripherally inserted central catheter placement by surgical intensivist-led vascular access team. . purpose: this study aimed to evaluate the safety and efficacy of bedside peripherally inserted central catheter (picc) placement under ultrasonography (usg) guidance in the general ward by a surgical intensivist-led vascular access team versus that of picc placement in the intensive care unit (icu) or fluoroscopy unit. materials and methods: we conducted this retrospective study of all patients who underwent picc placement between march 2021 and may 2022. clinical, periprocedural, and outcome data were compared for picc placement in the icu, general ward, and fluoroscopy unit groups, respectively. results: a total of 354 picc placements were made in 301 patients. among them, usg-guided picc placement was performed in 103 and 147 cases in the icu and general ward, respectively, while fluoroscopy-guided picc placement was performed in 104 cases. usg-guided picc placement more often required post-procedural catheter repositioning than fluoroscopy-guided picc placement (p<0.001), but there was no significant difference in any adverse events (p=0.796). in addition, usg-guided picc placement in the general ward was more efficient than fluoroscopy-guided picc placement (0.73 days vs. 5.73 days, respectively; p<0.001). in the multivariate analysis, previous picc placement within 6 months was an independent risk factor for a picc-associated bloodstream infection (odds ratio, 2.835; 95% confidence interval, 1.143-7.034; p=0.025). conclusion: usg-guided picc placement in the general ward by a surgical intensivist-led vascular access team has comparable safety and efficiency to that of usg-guided picc placement in the icu or fluoroscopy-guided picc placement. "
