PMID,FACTOR,TEXT
32028425,Two or more lumens,"picc for chemotherapy (hazards ratio [hr] 11.421; 95% confidence interval (ci), 2.434-53.594; p = .019), double lumen catheter [hr 5.466; 95% ci, 1.257-23.773; p = .007], and picc for antibiotic therapy [hr 2.854; 95% ci, 1.082-7.530; p = .019] were associated with picc-clabsi.picc for chemotherapy or antibiotics, and number of catheter lumens are associated with increased risk of picc-clabsi in cancer patients."
32028425,Antibiotic therapy,"picc for chemotherapy (hazards ratio [hr] 11.421; 95% confidence interval (ci), 2.434-53.594; p = .019), double lumen catheter [hr 5.466; 95% ci, 1.257-23.773; p = .007], and picc for antibiotic therapy [hr 2.854; 95% ci, 1.082-7.530; p = .019] were associated with picc-clabsi.picc for chemotherapy or antibiotics, and number of catheter lumens are associated with increased risk of picc-clabsi in cancer patients."
34498477,Postplacement,"a comparative study on the tip position of peripherally inserted central catheter inserted at two forward p-wave amplitudes by intracavitary electrocardiogram in cancer patients. results: there was no difference in the total compliance rate of picc tip position and the incidence of the catheter malposition in the two groups (p>0.05). conclusions: the picc tip position at the autonomous peak of the p wave is significantly better than that at the p wave amplitude being 50-80% of the qrs main wave under the ic-ekg guidance for picc insertion. the total compliance rate [picc tip was located in the lower third of the superior vena cava (svc) and the cavo-atrial junction (caj)], the optimal position compliance rate (picc tip was located in the caj), and the incidence of the catheter tip malposition were compared between the two groups."
28807074,Two or more lumens,"significant risk factors associated with picc-clabsi included hematological cancer (3 points), clabsi within 3 months of picc insertion (2 points), multilumen picc (2 points), solid cancers with ongoing chemotherapy (2 points), receipt of total parenteral nutrition (tpn) through the picc (1 point), and presence of another central venous catheter (cvc) at the time of picc placement (1 point)."
28807074,Parenteral nutrition,"significant risk factors associated with picc-clabsi included hematological cancer (3 points), clabsi within 3 months of picc insertion (2 points), multilumen picc (2 points), solid cancers with ongoing chemotherapy (2 points), receipt of total parenteral nutrition (tpn) through the picc (1 point), and presence of another central venous catheter (cvc) at the time of picc placement (1 point)."
37070255,PICC dwell time,"there was no significant intergroup difference in the overall rate of catheter-related complications (picc: 9.4% vs cicc: 3.8%; odds ratio [or]: 2.65; 95% confidence interval [ci]: 0.63-10.2, p = 0.145), and there were 7.7 and 9.0 complications per 1000 catheter days in the picc and cicc groups, respectively (hazard ratio [hr]: 0.61; 95% ci: 0.14-2.65, p = 0.513)."
24439240,Parenteral nutrition,a comparative study of peripherally-inserted and broviac catheter complications in home parenteral nutrition patients. background & aims: peripherally inserted central venous catheters (picc) have become increasingly popular for medium to long-term parenteral nutrition (pn) but there is limited data on the complication rates in this sub-group.
37731133,PICC dwell time,"results: overall, 23 fnps inserted a collective total of 1322 piccs, which remained in place for a collective total of 23,619 catheter days. the confirmed incidence of central line-associated bloodstream infection was 3.4% (45 patients), and these infections occurred on 1.9 per 1000 catheter days. the median duration of picc placement was 15 days (range, 10-23 days)."
30755503,Advanced Age,"aes increased when picc was inserted at the brachial site (hazard ratio [hr], 1.37; 95% confidence interval [ci], 1.02-1.84) and with open systems (hr, 1.89; 95% ci, 1.24-2.88) and decreased in older men (hr, 0.63; 95% ci, 0.49-0.81). moreover, alternatives to piccs should be considered when administering chemotherapy to young men."
30755503,Chemotherapy,"can peripherally inserted central catheters be safely placed in patients with cancer receiving chemotherapy? a retrospective study of almost 400,000 catheter-days. background: peripherally inserted central catheters (piccs) are central venous catheters (cvcs) that are commonly used in onco-hematologic settings for chemotherapy administration. as there is insufficient evidence to recommend a specific cvc for chemotherapy administration, we aimed to ascertain picc-related adverse events (aes) and identify independent predictors of picc removal in patients with cancer receiving chemotherapy. materials and methods: information on adult patients with cancer with a picc inserted for chemotherapy administration between september 2007 and december 2014 was extracted from six hospital databases. conclusion: use of picc for chemotherapy administration was associated with a low all-aes rate. implications for practice: these findings provide clinicians with evidence that peripherally inserted central catheters (piccs) are safe for chemotherapy administration. they also suggest that clinicians should limit the use of open systems when long chemotherapy regimens are scheduled. moreover, alternatives to piccs should be considered when administering chemotherapy to young men."
33746117,Chemotherapy,"prevention of hematogenous infection in peripheral venous catheterization with integrated medical assistance in patients undergoing chemotherapy. objective: this study is aimed at verifying the effect of specific management modalities aimed at reducing or preventing the incidence of infections in the blood flow in relation to the use of the central venous catheter (crbsi = catheterrelated bloodstream infection) in patients undergoing chemotherapy. conclusion: it is concluded that the implementation of the infection control management modality within the integration of medical care for picc chemotherapy patients in the oncology department can effectively reduce the incidence of infectious complications in the bloodstream, and improve the level of nursing care in peripheral venous catheterization (picc) with improved patient satisfaction. key words: chemotherapy, individualized management, infection control management mode under medical care integration/nursing, peripherally inserted central catheter (picc)."
27033138,Two or more lumens,"limiting the number of lumens in peripherally inserted central catheters to improve outcomes and reduce cost: a simulation study. background the number of peripherally inserted central catheter (picc) lumens is associated with thrombotic and infectious complications. conclusion hospital policies that limit the number of picc lumens may enhance patient safety and reduce healthcare costs. because multilumen piccs are not necessary in all patients, policies that limit their use may improve safety and cost. methods model inputs, including risk of complications and costs associated with single- and multilumen piccs, were obtained from available literature and a multihospital collaborative quality improvement project. results according to our model, a hospital that places 1,000 piccs per year (25% of which are single-lumen and 75% multilumen) experiences annual picc-related maintenance and complication costs of $1,228,598 (95% ci, $1,053,175-$1,430,958)."
32057552,Antibiotic therapy,"peripherally inserted central venous catheter placed and maintained by a dedicated nursing team for the administration of antimicrobial therapy vs. introduction: data concerning the use of peripherally inserted central catheters (picc) for the administration of intravenous (iv) antimicrobials in the acute care setting is scarce. case subjects were defined as patients who received iv antimicrobial treatment through a picc line placed and maintained by specifically trained nurses (picc group). control subjects were defined as patients who received antimicrobial therapy by a peripheral or a central venous catheter (cvc) (control group). control subjects were matched by type of antimicrobial, causative microorganism of the infection that was being treated and duration of treatment. an event leading to undesired catheter removal (elucr) was defined as any circumstance which lead to the removal of the indwelling catheter other than the completion of the scheduled course of antimicrobial therapy. conclusions: a picc placed and maintained by a dedicated nursing team is an excellent alternative to peripheral venous catheters or cvcs for administrating antimicrobial therapy for both short and long periods of treatment."
27179394,PICC dwell time,"results: significant outcomes included a central-line associated blood stream infection rate that changed from 1.38/1,000 catheter days to 0/1,000 catheter days, 0 provider-led premature picc removals, an overall 84% decrease in premature picc removals (from 16%-2.5%; p < .0001), a decrease in the total complication rate from 45.5%-24% (p < .0001), and 25% reduction in radiology costs."
24954426,Medical department admission (including ICU),"picc aes accounted for increased intensive care unit admissions, ht list inactivations, and overall cost."
38250594,Antibiotic therapy,"incorporating anti-infective drugs into peripherally inserted catheters does not reduce infection rates in neonates. purpose: this study assesses whether peripherally inserted central venous catheters (picc), impregnated with anti-infective drugs, reduce the rate of infections in neonates compared with unimpregnated catheters. methods: a retrospective analysis was conducted on electronic patient records of neonates born between august 2014 and may 2020, who had piccs inserted, either standard (s-picc) or with anti-infective drugs (a-picc). data on dwell time, mechanical ventilation, insertion site, maximum c-reactive protein (crp) concentration, and anti-infective drug use were analyzed. there were also no significant differences in maximum crp, insertion site abnormalities, or anti-infective drug use between the groups. conclusion: this retrospective study did not find a significant reduction in infection rates by using piccs containing anti-infective drugs in neonates. current antibiotic impregnations do not seem to be effective in preventing blood stream infections."
23838218,Two or more lumens,"immunosuppression (p<.01), power-injectable piccs (p=.05), and 3 picc lumens compared with 1 lumen (p=.02) were associated with clabsi. conclusions: immunosuppression and 3 picc lumens were associated with increased risk of clabsi."
23838218,Immunosuppression,"immunosuppression (p<.01), power-injectable piccs (p=.05), and 3 picc lumens compared with 1 lumen (p=.02) were associated with clabsi. conclusions: immunosuppression and 3 picc lumens were associated with increased risk of clabsi."
23838218,Postplacement,"objective: peripherally inserted central catheter (picc) tip malposition is potentially associated with complications, and postplacement adjustment of piccs is widely performed."
23838218,Power-injectable piccs,"immunosuppression (p<.01), power-injectable piccs (p=.05), and 3 picc lumens compared with 1 lumen (p=.02) were associated with clabsi. power-injectable piccs were also associated with increased vt formation (p=.03). power-injectable piccs were associated with increased risk of clabsi and vt formation."
26045668,Seasonality (summer / warm),"catheter care delay (or =2.612, 95% ci: 1.373-4.969) and indwelling mostly in summer (or =4.784, 95% ci: 2.681-8.538) were associated with higher infection incidence. conclusion: statlock fixing and tip position located in the lower one-third of the superior vena cava were protective factors against picc-related infection, while catheter care delay and indwelling mostly in summer were risk factors."
26045668,Postplacement,"multivariate analysis showed statlock fixing (odds ratio [or] =0.555, 95% confidence interval [ci]: 0.326-0.945) and tip position located in the lower one-third of the superior vena cava (or =0.340, 95% ci: 0.202-0.571) were associated with lower picc infection rate. conclusion: statlock fixing and tip position located in the lower one-third of the superior vena cava were protective factors against picc-related infection, while catheter care delay and indwelling mostly in summer were risk factors."
26045668,Fixation device,"multivariate analysis showed statlock fixing (odds ratio [or] =0.555, 95% confidence interval [ci]: 0.326-0.945) and tip position located in the lower one-third of the superior vena cava (or =0.340, 95% ci: 0.202-0.571) were associated with lower picc infection rate. conclusion: statlock fixing and tip position located in the lower one-third of the superior vena cava were protective factors against picc-related infection, while catheter care delay and indwelling mostly in summer were risk factors."
26045668,Catheter care delay,"catheter care delay (or =2.612, 95% ci: 1.373-4.969) and indwelling mostly in summer (or =4.784, 95% ci: 2.681-8.538) were associated with higher infection incidence. conclusion: statlock fixing and tip position located in the lower one-third of the superior vena cava were protective factors against picc-related infection, while catheter care delay and indwelling mostly in summer were risk factors."
30704933,Advanced Age,"the use of a picc is safer than that of a cicc and maintains the effectiveness for patients with aml undergoing chemotherapy, with an approximate fourfold lower combined risk of infection or thrombosis at 30 days."
30704933,Chemotherapy,"a frontline approach with peripherally inserted versus centrally inserted central venous catheters for remission induction chemotherapy phase of acute myeloid leukemia: a randomized comparison. thereafter, all patients underwent intensive chemotherapy for hematologic remission induction. the use of a picc is safer than that of a cicc and maintains the effectiveness for patients with aml undergoing chemotherapy, with an approximate fourfold lower combined risk of infection or thrombosis at 30 days."
27020965,Chemotherapy,"peripherally inserted central catheters (piccs) in cancer patients under chemotherapy: a prospective study on the incidence of complications and overall failures. background and objectives: the increasing use of peripherally inserted central venous catheters (piccs) for chemotherapy has led to the observation of an elevated risk of complications and failures. methods: a prospective study was conducted at a single cancer institution on 291 picc placement for chemotherapy. statistically significant risk factors were previous dvt (hr 2.95, 95%ci 1.33-6.53), reason for picc implant (hr 3.65, 95%ci 1.12-10.34) and 5-fluorouracil, oxaliplatin and bevacizumab based chemotherapy (hr 3.11, 95%ci 1.17-8.26). conclusions: picc is a safe venous device for chemotherapy delivery. nevertheless, a 15% rate of failure has to be taken in account when planning picc insertion for chemotherapy purposes."
27020965,PICC dwell time,"reasons for failures were upper extremity deep venous thrombosis (uedvt) 12 (4.1%), central line associate bloodstream infection (clabsi) 5 (1.7%) with an infection rate of 0.95 per 1,000 catheter days, exit site infection 9 (3.1%) with a rate of 1.46 per 1,000 catheter days, catheter dislodgment 11 (3.8%), and occlusion 7 (2.4%)."
37052429,Two or more lumens,"objective: implement computerized decision support to: (a) increase the use of midline catheters over piccs when appropriate and (b) decrease picc lumens when a picc is necessary. background: inappropriate use of peripherally inserted central catheters (piccs), including multilumen piccs, may increase the risk of patient complications."
26202391,Auto/allograft,"multivariate logistic regression analysis showed a higher picc-related infection rate with chemotherapy (odds ratio (or) 7.2-confidence interval (ci) 95% [1.77-29.5]), auto/allograft (or 5.9-ci 95% [1.2-29.2]), and anti-coagulant therapy (or 2.2-95% [1.4-12]). conclusion: chemotherapy, auto/allograft, and anti-coagulant therapy are associated with an increased risk of developing picc-related infections. clinical advance: chemotherapy, auto/allograft, and anti-coagulant therapy are important predictors of picc-associated infections."
26202391,Anticoagulants therapy,"multivariate logistic regression analysis showed a higher picc-related infection rate with chemotherapy (odds ratio (or) 7.2-confidence interval (ci) 95% [1.77-29.5]), auto/allograft (or 5.9-ci 95% [1.2-29.2]), and anti-coagulant therapy (or 2.2-95% [1.4-12]). conclusion: chemotherapy, auto/allograft, and anti-coagulant therapy are associated with an increased risk of developing picc-related infections. clinical advance: chemotherapy, auto/allograft, and anti-coagulant therapy are important predictors of picc-associated infections."
30180989,Antibiotic-coated catheters,peripherally inserted central catheter-associated bloodstream infection: risk factors and the role of antibiotic-impregnated catheters for prevention. background: antimicrobial-impregnated (aip) peripherally inserted central catheters (piccs) may lower risk of central line-associated bloodstream infection (clabsi) compared with nonantimicrobial-impregnated (naip) catheters.
30180989,Antibiotic therapy,background: antimicrobial-impregnated (aip) peripherally inserted central catheters (piccs) may lower risk of central line-associated bloodstream infection (clabsi) compared with nonantimicrobial-impregnated (naip) catheters. peripherally inserted central catheter-associated bloodstream infection: risk factors and the role of antibiotic-impregnated catheters for prevention.
30180989,Acute myeloid leukemia,"other risk factors included chemotherapy, placement of a tunneled catheter, leukemia, and aids. highest risk occurred with placement of a tunneled catheter, aids, leukemia, and if the indication for picc was chemotherapy."
30180989,Immunosuppression,"other risk factors included chemotherapy, placement of a tunneled catheter, leukemia, and aids. highest risk occurred with placement of a tunneled catheter, aids, leukemia, and if the indication for picc was chemotherapy."
32709498,Medical department admission (including ICU),peripherally inserted central catheter lines for intensive care unit and onco-hematologic patients: a systematic review and meta-analysis. objective: to compare central line associated bloodstream infection (clabsi) and catheter-related thrombosis rates in intensive care unit (icu) and onco-hematologic patients with picc lines and cvcs.
37370862,Chemotherapy,"peripherally inserted central venous catheter (picc) related bloodstream infection in cancer patients treated with chemotherapy compared with noncancer patients: a propensity-score-matched analysis. this study aimed to compare the incidence of picc-related bloodstream infections (piccr-bsis) in cancer patients treated with chemotherapy and in noncancer patients. among the 721 piccs (627 patients) included in the analysis, 240 were placed in cancer patients for chemotherapy and 481 in noncancer patients. in conclusion, the incidence rate of piccr-bsi is higher in cancer patients treated with chemotherapy than in noncancer patients, but our results also highlight the importance of limiting the number of picc lumens in such patients."
37370862,Two or more lumens,"however, after adjusting for variables resulting in an imbalance between groups after propensity-score matching, only the number of picc lumens was independently associated with piccr-bsi (adjusted hazard ratio 1.81, 95% confidence interval: 1.01-3.22; p = 0.04). in conclusion, the incidence rate of piccr-bsi is higher in cancer patients treated with chemotherapy than in noncancer patients, but our results also highlight the importance of limiting the number of picc lumens in such patients."
23295565,Two or more lumens,"independent risk factors for picc bsis included congestive heart failure (odds ratio [or], 2.0 [95% confidence interval (ci), 1.26-3.17]; p = .003), intra-abdominal perforation (or, 5.66 [95% ci, 1.76-18.19]; p = .004), clostidium difficile infection (or, 2.25 [95% ci, 1.17-4.33]; p = .02), recent chemotherapy (or, 3.36 [95% ci, 1.15-9.78]; p = .03), presence of tracheostomy (or, 5.88 [95% ci, 2.99-11.55]; p < .001), and type of catheter (or for double lumen, 1.89 [95% ci, 1.15-3.10]; p = .01 ; or for triple lumen, 2.87 [95% ci, 1.39-5.92]; p = .004)."
23295565,Medical department admission (including ICU),"underlying chronic obstructive pulmonary disease (or, 0.48 [95% ci, 0.29-0.78]; p = .03) and admission to surgical (or, 0.43 [95% ci, 0.24-0.79]; p = .006) or oncology and orthopedic (or, 0.35 [95% ci, 0.13-0.99]; p = .05) services were less likely to be associated with having a picc bsi."
30560363,Medical department admission (including ICU),"other risk factors (i.e., age, gender, comorbidity, picc duration, veins, hospital stay, and intensive care unit stay) showed no significant correlations with clabsi."
30379146,Two or more lumens,"less lumens-less risk: a pilot intervention to increase the use of single-lumen peripherally inserted central catheters. to reduce risk of complications, existing guidelines recommend use of peripherally inserted central catheters (piccs) with the minimal number of lumens. the proportion of piccs with an inappropriate number of lumens decreased from 25.6% preintervention to 2.2% postintervention (p < .001). the intervention included (1) education for physicians, pharmacists, and nurses; (2) changes to the electronic picc order-set that set single lumen piccs as default; and (3) criteria defining when use of multilumen piccs is appropriate. implementing a single-lumen picc default and providing education and indications for multilumen devices improved picc appropriateness."
35587883,PICC dwell time,"the main outcome measure was the incidence rate of catheter-associated bacteremia per 1000 catheter days. the difference in the incidence of bacteremia per 1000 catheter days was 1.29 (95% confidence interval, -0.89 to 3.90)."
28218366,PICC dwell time,"peripherally inserted central catheter-related complications in cancer patients: a prospective study of over 50,000 catheter days. eighty-one patients (17.0%) developed picc-related complications, with an incidence of 1.59 per 1000 catheter days. nine (1.9%) patients developed symptomatic upper extremity deep venous thrombosis (uedvt) and central line associated bloodstream infection (clabsi) was shown in six (1.3%) piccs with an infection rate 0.12 per 1000 catheter days."
28978332,Antibiotic-coated catheters,all groups except ta + spu had a chlorhexidine-gluconate (chg) impregnated disc.
35177128,PICC dwell time,"results: 455 piccs placed in 370 patients were included, comprising 19,063 catheter days. median indwelling time was 26 days (range 0-385) and clabsi incidence was 4.0 per 1000 catheter days, with a median time to clabsi of 33 days (range 18-158). indwelling time of peripherally inserted central catheters and incidence of bloodstream infections in haematology patients: a cohort study. background: we aimed to assess whether longer indwelling time of peripherally inserted central catheters (picc) increases risk of central line associated bloodstream infections (clabsi) in haematology patients. in the unadjusted analysis, piccs with an indwelling time of 15-28 days, 29-42 days, 43-56 days and > 56 days each had an increased clabsi incidence rate ratio of 2.4 (1.2-4.8), 2.2 (0.95-5.0), 3.4 (1.6-7.5) and 1.7 (0.9-3.5), respectively, compared to piccs in place for < 15 days. conclusions: our study shows that risk of clabsi does not appear to increase with longer picc indwelling time."
37046808,Chemotherapy,"intravascular complications of central venous catheterization by insertion site in acute leukemia during remission induction chemotherapy phase: lower risk with peripherally inserted catheters in a single-center retrospective study. in a 10-year period, 336 cvc were inserted in the bbv (n = 115), ijv (n = 111), and scv (n = 110) in 336 patients suffering from aml (n = 201) and all (n = 135) and undergoing induction chemotherapy. picc was a valid cvc for the induction chemotherapy of acute leukemia for the lowest risk of sdvt and bsi."
37046808,Acute myeloid leukemia,"intravascular complications of central venous catheterization by insertion site in acute leukemia during remission induction chemotherapy phase: lower risk with peripherally inserted catheters in a single-center retrospective study. a bbv approach [peripherally inserted central catheter (picc)] is increasingly used for short- to intermediate-term cvcs for acute leukemias undergoing cytotoxic intensive regimens. in this retrospective study, the catheterization of the bbv, ijv, and scv in patients with previously untreated acute leukemia was assessed. picc was a valid cvc for the induction chemotherapy of acute leukemia for the lowest risk of sdvt and bsi."
